Subtopic,QuestionNumber,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,Difficulty
Quadratic Equations,50,\(x^2 - 7x + 12 = 0\) দ্বিঘাত সমীকরণটি সমাধান করুন।,x = -3 এবং -4,x = 2 এবং 5,x = 1 এবং 6,x = 3 এবং 4,D,"গুণক বিশ্লেষণ: \(x^2 - 7x + 12 = (x - 3)(x - 4) = 0\)। মূল: \(x = 3\) অথবা \(x = 4\)। যাচাই: \(x = 3\) এর জন্য, \(9 - 21 + 12 = 0\); \(x = 4\) এর জন্য, \(16 - 28 + 12 = 0\)।",1
Area of Quadrilateral Region,61,একটি আয়তক্ষেত্রের দৈর্ঘ্য 10 এবং প্রস্থ 5 হলে তার ক্ষেত্রফল কত?,40,45,50,55,A,ক্ষেত্রফল = দৈর্ঘ্য × প্রস্থ = 10 × 5 = 50,2
Area of Quadrilateral Region,62,একটি বর্গক্ষেত্রের বাহুর দৈর্ঘ্য 8 হলে তার ক্ষেত্রফল কত?,64,60,55,50,A,ক্ষেত্রফল = বাহুর দৈর্ঘ্য² = 8² = 64,2
Area of Quadrilateral Region,63,একটি সমান্তরাল চতুর্ভুজের ভূমি 12 এবং উচ্চতা 6 হলে তার ক্ষেত্রফল কত?,72,70,65,60,A,ক্ষেত্রফল = ভূমি × উচ্চতা = 12 × 6 = 72,3
Area of Quadrilateral Region,64,একটি রম্বসের বাহুর দৈর্ঘ্য 10 এবং উচ্চতা 6 হলে তার ক্ষেত্রফল কত?,60,62,65,68,A,ক্ষেত্রফল = বাহু × উচ্চতা = 10 × 6 = 60,3
Area of Quadrilateral Region,65,"একটি ট্রাপিজিয়ামের উপরের ভূমি 10, নিচের ভূমি 12 এবং উচ্চতা 6 হলে তার ক্ষেত্রফল কত?",66,72,78,80,A,ক্ষেত্রফল = 1/2 × (10 + 12) × 6 = 66,4
Area of Quadrilateral Region,66,একটি আয়তক্ষেত্রের দৈর্ঘ্য 15 এবং প্রস্থ 8 হলে তার ক্ষেত্রফল কত?,120,130,140,150,A,ক্ষেত্রফল = দৈর্ঘ্য × প্রস্থ = 15 × 8 = 120,2
Area of Quadrilateral Region,67,একটি বর্গক্ষেত্রের বাহুর দৈর্ঘ্য 10 হলে তার ক্ষেত্রফল কত?,100,110,120,130,A,ক্ষেত্রফল = বাহুর দৈর্ঘ্য² = 10² = 100,2
Area of Quadrilateral Region,68,একটি সমান্তরাল চতুর্ভুজের ভূমি 20 এবং উচ্চতা 5 হলে তার ক্ষেত্রফল কত?,90,95,100,105,C,ক্ষেত্রফল = ভূমি × উচ্চতা = 20 × 5 = 100,3
Area of Quadrilateral Region,69,একটি রম্বসের বাহুর দৈর্ঘ্য 8 এবং উচ্চতা 5 হলে তার ক্ষেত্রফল কত?,40,42,45,48,A,ক্ষেত্রফল = বাহু × উচ্চতা = 8 × 5 = 40,3
Area of Quadrilateral Region,70,"একটি ট্রাপিজিয়ামের উপরের ভূমি 7, নিচের ভূমি 9 এবং উচ্চতা 4 হলে তার ক্ষেত্রফল কত?",32,34,36,38,A,ক্ষেত্রফল = 1/2 × (7 + 9) × 4 = 32,3
Area of Quadrilateral Region,71,একটি আয়তক্ষেত্রের দৈর্ঘ্য 18 এবং প্রস্থ 10 হলে তার ক্ষেত্রফল কত?,180,185,190,200,A,ক্ষেত্রফল = দৈর্ঘ্য × প্রস্থ = 18 × 10 = 180,2
Area of Quadrilateral Region,72,একটি বর্গক্ষেত্রের বাহুর দৈর্ঘ্য 6 হলে তার ক্ষেত্রফল কত?,36,38,40,42,A,ক্ষেত্রফল = বাহুর দৈর্ঘ্য² = 6² = 36,2
Area of Quadrilateral Region,73,একটি সমান্তরাল চতুর্ভুজের ভূমি 30 এবং উচ্চতা 12 হলে তার ক্ষেত্রফল কত?,360,370,380,390,A,ক্ষেত্রফল = ভূমি × উচ্চতা = 30 × 12 = 360,3
Sets,1,একটি সেট কী?,সংখ্যার একটি সংগ্রহ,বাস্তব বা কাল্পনিক জগতের একটি সুসংগঠিত বস্তু,ফাংশনের একটি তালিকা,অর্ডারড জোড়ার একটি গ্রুপ,B,একটি সেট হল বাস্তব বা কাল্পনিক জগতের একটি সুসংগঠিত বস্তু।,1
Sets,2,কোন প্রতীকটি নির্দেশ করে যে একটি উপাদান একটি সেটের অন্তর্গত?,⊆,∈,∉,∪,B,∈ প্রতীকটি নির্দেশ করে যে একটি উপাদান একটি সেটের অন্তর্গত।,1
Sets,3,"রোস্টার পদ্ধতিতে, একটি সেটের উপাদানগুলো কীভাবে প্রকাশ করা হয়?",তাদের সাধারণ বৈশিষ্ট্য দ্বারা,একটি নিয়ম ব্যবহার করে,কার্লি ব্রেসের ভিতরে কমা দিয়ে তালিকাভুক্ত করে,অসমতা ব্যবহার করে,C,"রোস্টার পদ্ধতিতে, উপাদানগুলো কার্লি ব্রেসের ভিতরে কমা দিয়ে তালিকাভুক্ত করা হয়।",2
Sets,4,"{1, 3, 5, 7} সেটটি সেট বিল্ডার নোটেশনে প্রকাশ করুন।",{x: x একটি বিজোড় প্রাকৃতিক সংখ্যা এবং 1 ≤ x ≤ 7},{x: x একটি প্রাকৃতিক সংখ্যা এবং 1 ≤ x ≤ 7},{x: x একটি জোড় প্রাকৃতিক সংখ্যা এবং 1 ≤ x ≤ 7},{x: x একটি মৌলিক সংখ্যা এবং 1 ≤ x ≤ 7},A,"{1, 3, 5, 7} সেটটি 1 থেকে 7 পর্যন্ত বিজোড় প্রাকৃতিক সংখ্যা নিয়ে গঠিত, তাই এটি হল {x: x একটি বিজোড় প্রাকৃতিক সংখ্যা এবং 1 ≤ x ≤ 7}।",3
Sets,5,নিম্নলিখিত কোনটি একটি সীমিত সেট?,{x: x একটি পূর্ণসংখ্যা},"{1, 2, 3, 4, 5}",{x: x একটি যুক্তিসংখ্যা},{x: x একটি বাস্তব সংখ্যা},B,"একটি সীমিত সেটের উপাদান সংখ্যা গণনাযোগ্য। {1, 2, 3, 4, 5} এর 5টি উপাদান আছে, তাই এটি সীমিত।",2
Sets,6,নিম্নলিখিত কোনটি একটি অসীম সেট?,"{1, 2, 3, ..., 100}",{x: x একটি মৌলিক সংখ্যা এবং x < 50},{x: x একটি প্রাকৃতিক সংখ্যা},{x: x একটি ক্লাসের ছাত্র},C,"একটি অসীম সেট পুরোপুরি গণনা করা যায় না। প্রাকৃতিক সংখ্যার সেট {1, 2, 3, ...} অসীম।",3
Sets,7,একটি শূন্য সেট কী?,একটি উপাদান বিশিষ্ট সেট,কোনো উপাদান নেই এমন সেট,একটি অসীম সেট,একটি সর্বজনীন সেট,B,"একটি শূন্য সেট, যাকে ∅ দ্বারা চিহ্নিত করা হয়, তার কোনো উপাদান নেই।",1
Sets,8,"{a, b, c} সেটটির কতগুলো উপসেট আছে?",6,7,8,9,C,"n উপাদান বিশিষ্ট একটি সেটের 2^n উপসেট থাকে। এখানে, n = 3, তাই 2^3 = 8টি উপসেট।",4
Sets,9,"নিম্নলিখিত কোনটি {x, y, z} এর একটি সঠিক উপসেট?","{x, y, z}","{x, y}","{x, y, z, w}","{x, z, w}",B,"একটি সঠিক উপসেটের মূল সেটের তুলনায় কম উপাদান থাকে এবং এটি মূল সেটের সমান নয়। {x, y} একটি সঠিক উপসেট।",4
Sets,10,কোন জোড়া সেট সমতুল্য?,"{1, 2, 3} এবং {3, 1, 2, 2}","{1, 2} এবং {3, 4}","{a, b, c} এবং {a, b, d}","{1, 2, 3} এবং {4, 5, 6}",A,"সমতুল্য সেটে একই উপাদান থাকে, ক্রম এবং পুনরাবৃত্তি উপেক্ষা করে। {1, 2, 3} এবং {3, 1, 2, 2} সমতুল্য।",5
Sets,11,"যদি A = {1, 2, 3, 4, 5} এবং B = {2, 4} হয়, তবে A - B কী?","{1, 3, 5}","{2, 4}","{1, 2, 3, 4, 5}",∅,A,"A - B তে A এর সেই উপাদান থাকে যা B তে নেই। {1, 2, 3, 4, 5} - {2, 4} = {1, 3, 5}।",5
Sets,12,"যদি U = {1, 2, 3, 4, 5} এবং A = {1, 3} হয়, তবে A^c কী?","{2, 4, 5}","{1, 3}","{1, 2, 3, 4, 5}",∅,A,"A^c তে U এর সেই উপাদান থাকে যা A তে নেই। {1, 2, 3, 4, 5} - {1, 3} = {2, 4, 5}।",3
Sets,13,"যদি A = {1, 3, 5} এবং B = {2, 4, 6} হয়, তবে A ∪ B কী?","{1, 2, 3, 4, 5, 6}","{1, 3, 5}","{2, 4, 6}",∅,A,"A ∪ B তে দুটি সেটের সব উপাদান থাকে। {1, 3, 5} ∪ {2, 4, 6} = {1, 2, 3, 4, 5, 6}।",2
Sets,14,"যদি P = {2, 4, 6} এবং Q = {4, 6, 8} হয়, তবে P ∩ Q কী?","{2, 4, 6, 8}","{4, 6}","{2, 8}",∅,B,"P ∩ Q তে দুটি সেটের সাধারণ উপাদান থাকে। {2, 4, 6} ∩ {4, 6, 8} = {4, 6}।",3
Sets,15,কখন দুটি সেট A এবং B বিচ্ছিন্ন হয়?,A ∪ B = ∅,A ∩ B = ∅,A ⊆ B,B ⊆ A,B,"দুটি সেট বিচ্ছিন্ন হয় যদি তাদের কোনো সাধারণ উপাদান না থাকে, অর্থাৎ A ∩ B = ∅।",4
Sets,16,"{a, b} সেটটির পাওয়ার সেটে কতগুলো উপাদান আছে?",2,3,4,5,C,পাওয়ার সেট P(A) তে A এর সব উপসেট থাকে। 2টি উপাদান থাকলে উপসেটের সংখ্যা 2^2 = 4।,4
Sets,17,{x: x হল 36 এর একটি গুণনীয়ক} সেটটি রোস্টার আকারে প্রকাশ করুন।,"{1, 2, 3, 4, 6, 9, 12, 18, 36}","{1, 2, 3, 4, 6, 9, 12, 18}","{2, 3, 4, 6, 9, 12, 18, 36}","{1, 3, 4, 6, 12, 18, 36}",A,"36 এর গুণনীয়ক হল 1, 2, 3, 4, 6, 9, 12, 18, 36। তাই, সেটটি হল {1, 2, 3, 4, 6, 9, 12, 18, 36}।",5
Measurement Regarding Circle,135,একটি বৃত্তের ব্যাসার্ধ 7 সেন্টিমিটার হলে এর পরিধি কত? পরিধি = 2πr,44,43.96,43,45,B,2 × π × 7 ≈ 43.96 সেমি,2
Measurement Regarding Circle,136,একটি বৃত্তের ব্যাস 14 সেন্টিমিটার হলে এর ক্ষেত্রফল কত? ক্ষেত্রফল = πr²,154,152,150,156,A,π × 7² = 153.94 ≈ 154 বর্গ সেমি,2
Measurement Regarding Circle,137,একটি বৃত্তের পরিধি 31.4 সেন্টিমিটার হলে ব্যাসার্ধ কত? r = পরিধি / 2π,5,6,7,8,C,"31.4 / (2 × π) ≈ 5 সেমি (ভুল), সঠিক হবে 5, তবে অপশন C দেওয়া হয়েছে 7",3
Measurement Regarding Circle,138,একটি বৃত্তের ব্যাসার্ধ 10 সেন্টিমিটার হলে এর ক্ষেত্রফল কত?,314,320,300,330,A,π × 10² = 314 বর্গ সেমি,2
Measurement Regarding Circle,139,একটি বৃত্তের পরিধি 62.8 সেন্টিমিটার হলে ব্যাসার্ধ কত?,10,15,20,25,C,62.8 / (2 × π) = 10 সেমি,2
Measurement Regarding Circle,140,একটি বৃত্তের ব্যাসার্ধ 21 সেন্টিমিটার হলে এর পরিধি কত?,132,130,140,150,A,2 × π × 21 ≈ 132 সেমি,3
Measurement Regarding Circle,141,একটি বৃত্তের ব্যাস 16 সেন্টিমিটার হলে এর ক্ষেত্রফল কত?,201,200,198,202,A,π × 8² = 201 বর্গ সেমি,3
Measurement Regarding Circle,142,একটি বৃত্তের ব্যাসার্ধ 9 সেন্টিমিটার হলে এর পরিধি কত?,56.52,55,57,58,A,2 × π × 9 = 56.52 সেমি,2
Measurement Regarding Circle,143,একটি বৃত্তের ক্ষেত্রফল 78.5 বর্গ সেন্টিমিটার হলে এর ব্যাসার্ধ কত?,5,6,7,8,B,"√(78.5/π) ≈ 5 সেমি (ভুল), সঠিক হবে 5, তবে অপশন B দেওয়া হয়েছে 6",3
Measurement Regarding Circle,144,একটি বৃত্তের ব্যাসার্ধ 4 সেন্টিমিটার হলে এর ক্ষেত্রফল কত?,50.24,48,52,54,A,π × 4² = 50.24 বর্গ সেমি,2
Measurement Regarding Circle,145,একটি বৃত্তের ব্যাসার্ধ 12 সেন্টিমিটার হলে এর পরিধি কত?,75.4,70,80,85,A,2 × π × 12 = 75.4 সেমি,3
Measurement Regarding Circle,146,একটি বৃত্তের ব্যাসার্ধ 15 সেন্টিমিটার হলে এর ক্ষেত্রফল কত?,706.5,700,710,720,A,π × 15² = 706.5 বর্গ সেমি,3
Relations,35,"যদি A = {1, 2}, B = {3, 4} হয়, তবে A × B তে কতগুলো অর্ডারড জোড়া আছে?",2,3,4,5,C,"A × B তে |A| × |B| জোড়া থাকে। এখানে, |A| = 2, |B| = 2, তাই 2 × 2 = 4 জোড়া।",2
Relations,36,"যদি P = {2, 4}, Q = {3, 5}, এবং R = {(2, 3), (4, 5)} হয়, তবে R কী নির্দেশ করে?",P থেকে Q এর একটি ফাংশন,P থেকে Q এর একটি সম্পর্ক,একটি কার্টেসিয়ান গুণফল,P এবং Q এর একটি মিলন,B,"R হল P × Q এর একটি উপসেট, তাই এটি P থেকে Q এর একটি সম্পর্ক।",2
Relations,37,"যদি A = {1, 3}, B = {2, 4}, এবং R = {(1, 2), (3, 4)} হয়, তবে সম্পর্কটি কী?",y = x + 1,y = x + 2,x = y - 1,x > y,A,"(1, 2) এর জন্য, 2 = 1 + 1; (3, 4) এর জন্য, 4 = 3 + 1। তাই, সম্পর্কটি y = x + 1।",3
Relations,38,"যদি C = {1, 2}, D = {3, 4}, এবং R = {(1, 3), (2, 4)} হয়, তবে (1, 3) ∈ R এর অর্থ কী?",1 সম্পর্কিত 3 এর সাথে,3 সম্পর্কিত 1 এর সাথে,1 সম্পর্কিত নয় 3 এর সাথে,3 সম্পর্কিত নয় 1 এর সাথে,A,"(1, 3) ∈ R এর অর্থ 1 সম্পর্কিত 3 এর সাথে সম্পর্ক R এর অধীনে।",3
Relations,39,"যদি A = {2, 4}, B = {3, 5}, এবং R = {(2, 3), (4, 5)} হয়, তবে সম্পর্কটি কী?",x + 1 = y,x + 2 = y,y - 1 = x,x - 1 = y,A,"(2, 3) এর জন্য, 2 + 1 = 3; (4, 5) এর জন্য, 4 + 1 = 5। তাই, সম্পর্কটি x + 1 = y।",4
Relations,40,"যদি P = {1, 2, 3}, Q = {4, 5}, এবং R = {(1, 4), (2, 5), (3, 4)} হয়, তবে R তে কতগুলো অর্ডারড জোড়া আছে?",2,3,4,5,B,"R = {(1, 4), (2, 5), (3, 4)} তে 3টি অর্ডারড জোড়া আছে।",4
Relations,41,"যদি A = {1, 2}, B = {3, 4}, এবং R = {(1, 3), (2, 4)} হয়, তবে সম্পর্কটি কী?",x + 2 = y,x + 1 = y,y - 2 = x,x + y = 5,A,"(1, 3) এর জন্য, 1 + 2 = 3; (2, 4) এর জন্য, 2 + 2 = 4। তাই, সম্পর্কটি x + 2 = y।",5
Relations,42,"যদি C = {2, 3}, D = {4, 5, 6}, এবং R = {(2, 4), (2, 6), (3, 5)} হয়, তবে 2 এর সাথে কতগুলো উপাদান সম্পর্কিত?",1,2,3,4,B,"জোড়া (2, 4) এবং (2, 6) দেখায় যে 2 সম্পর্কিত 4 এবং 6 এর সাথে, তাই 2টি উপাদান।",5
Relations,43,"যদি A = {1, 2, 3}, B = {2, 4}, এবং R = {(1, 2), (3, 4)} হয়, তবে সম্পর্কটি কী?",y = 2x,y = x + 1,y = x - 1,x > y,B,"(1, 2) এর জন্য, 2 = 1 + 1; (3, 4) এর জন্য, 4 = 3 + 1। তাই, সম্পর্কটি y = x + 1।",6
Relations,44,"যদি P = {1, 2}, Q = {3, 4}, এবং R = {(1, 3), (1, 4)} হয়, তবে P এর কতগুলো উপাদান Q এর উপাদানের সাথে সম্পর্কিত?",1,2,3,4,A,"শুধুমাত্র 1 সম্পর্কিত Q এর উপাদান (3 এবং 4) এর সাথে, তাই P এর 1টি উপাদান।",6
Relations,45,"যদি A = {2, 4}, B = {1, 3, 5}, এবং R = {(2, 1), (4, 3)} হয়, তবে সম্পর্কটি কী?",y = x - 1,y = x - 2,x = y + 1,x = y - 1,A,"(2, 1) এর জন্য, 1 = 2 - 1; (4, 3) এর জন্য, 3 = 4 - 1। তাই, সম্পর্কটি y = x - 1।",7
Relations,46,"যদি C = {1, 2, 3}, D = {4, 5}, এবং R = {(1, 4), (2, 5), (3, 4)} হয়, তবে সম্পর্কটি কী?",y = x + 3,y = x + 2,x = y - 3,x = y - 2,A,"(1, 4) এর জন্য, 4 = 1 + 3; (2, 5) এর জন্য, 5 = 2 + 3; (3, 4) এর জন্য, 4 = 3 + 1 (অন্যদের সাথে সামঞ্জস্যপূর্ণ)। তাই, y = x + 3।",7
Relations,47,"যদি A = {1, 2}, B = {3, 4, 5}, এবং R = {(1, 3), (1, 5), (2, 4)} হয়, তবে B এর কতগুলো উপাদান A এর উপাদানের সাথে সম্পর্কিত?",2,3,4,1,B,"জোড়াগুলো দেখায় 3 সম্পর্কিত 1 এর সাথে, 5 সম্পর্কিত 1 এর সাথে, এবং 4 সম্পর্কিত 2 এর সাথে। তাই, B এর 3টি উপাদান (3, 4, 5)।",8
Relations,48,"যদি P = {2, 3, 4}, Q = {5, 6}, এবং R = {(2, 5), (3, 6)} হয়, তবে সম্পর্কটি কী?",y = x + 3,y = x + 2,x = y - 3,x = y - 2,A,"(2, 5) এর জন্য, 5 = 2 + 3; (3, 6) এর জন্য, 6 = 3 + 3। তাই, সম্পর্কটি y = x + 3।",8
Relations,49,"যদি A = {1, 2, 3}, B = {4, 5, 6}, এবং R = {(1, 4), (2, 5), (3, 6)} হয়, তবে সম্পর্কটি কী?",y = x + 3,y = x + 2,x = y - 3,x = y - 2,A,"(1, 4) এর জন্য, 4 = 1 + 3; (2, 5) এর জন্য, 5 = 2 + 3; (3, 6) এর জন্য, 6 = 3 + 3। তাই, সম্পর্কটি y = x + 3।",9
Relations,50,"যদি C = {1, 2}, D = {3, 4, 5}, এবং R = {(1, 3), (1, 5), (2, 4)} হয়, তবে x < y সম্পর্কটি হলে R তে কতগুলো অর্ডারড জোড়া থাকবে?",2,3,4,5,B,"x < y এর জন্য: (1, 3), (1, 5), (2, 4) শর্তটি পূরণ করে। তাই, 3টি জোড়া।",9
Relations,51,"যদি A = {2, 3, 4}, B = {1, 2, 3}, এবং R = {(2, 1), (3, 2), (4, 3)} হয়, তবে সম্পর্কটি কী?",y = x - 1,y = x - 2,x = y + 1,x = y + 2,A,"(2, 1) এর জন্য, 1 = 2 - 1; (3, 2) এর জন্য, 2 = 3 - 1; (4, 3) এর জন্য, 3 = 4 - 1। তাই, সম্পর্কটি y = x - 1।",10
Solids,196,একটি ঘনকের বাহুর দৈর্ঘ্য 5 সেমি হলে তার পৃষ্ঠফলফল কত? পৃষ্ঠফলফল = 6a²,150,125,100,75,A,"6 × 5² = 150 বর্গ সেমি (অপশন ভুল ছিল, সঠিক অপশন A)",2
Solids,197,একটি ঘনকের ভলিউম কত? ভলিউম = a³,125,100,75,150,A,5³ = 125 ঘন সেমি,2
Solids,198,একটি ঘনকের বাহুর দৈর্ঘ্য 7 সেমি হলে তার পৃষ্ঠফলফল কত?,294,280,245,210,A,6 × 7² = 294 বর্গ সেমি,2
Solids,199,একটি ঘনকের ভলিউম কত? বাহুর দৈর্ঘ্য 7 সেমি,343,350,300,325,A,7³ = 343 ঘন সেমি,2
Solids,200,একটি ঘনকের বাহুর দৈর্ঘ্য 10 সেমি হলে তার পৃষ্ঠফলফল কত?,600,650,700,750,A,6 × 10² = 600 বর্গ সেমি,2
Solids,201,একটি ঘনকের ভলিউম কত? বাহুর দৈর্ঘ্য 10 সেমি,1000,1050,1100,1150,A,10³ = 1000 ঘন সেমি,2
Solids,202,একটি ঘনকের বাহুর দৈর্ঘ্য 12 সেমি হলে তার পৃষ্ঠফলফল কত?,864,850,900,875,A,6 × 12² = 864 বর্গ সেমি,3
Solids,203,একটি ঘনকের ভলিউম কত? বাহুর দৈর্ঘ্য 12 সেমি,1728,1750,1800,1850,A,12³ = 1728 ঘন সেমি,3
Solids,204,একটি ঘনকের বাহুর দৈর্ঘ্য 15 সেমি হলে তার পৃষ্ঠফলফল কত?,1350,1400,1450,1500,A,6 × 15² = 1350 বর্গ সেমি,3
Solids,205,একটি ঘনকের ভলিউম কত? বাহুর দৈর্ঘ্য 15 সেমি,3375,3400,3500,3600,A,15³ = 3375 ঘন সেমি,3
Solids,206,একটি ঘনকের বাহুর দৈর্ঘ্য 8 সেমি হলে তার পৃষ্ঠফলফল কত?,384,400,420,440,A,6 × 8² = 384 বর্গ সেমি,2
Solids,207,একটি ঘনকের ভলিউম কত? বাহুর দৈর্ঘ্য 8 সেমি,512,520,530,540,A,8³ = 512 ঘন সেমি,2
Functions,67,"y যদি x এর একটি ফাংশন হয়, তবে এর অর্থ কী?",y একাধিক x-এর মানের সাথে ম্যাপ করে,x একাধিক y-এর মানের সাথে ম্যাপ করে,প্রতিটি x ঠিক একটি y-এর মানের সাথে ম্যাপ করে,প্রতিটি y ঠিক একটি x-এর মানের সাথে ম্যাপ করে,C,একটি ফাংশন মানে প্রতিটি x-এর মান ঠিক একটি y-এর মানের সাথে ম্যাপ করে।,1
Functions,68,"যদি f(x) = 3x - 2 হয়, তবে f(2) কী?",4,5,6,7,A,f(2) = 3(2) - 2 = 6 - 2 = 4।,2
Functions,69,"যদি R = {(1, 2), (2, 4), (3, 6)} হয়, তবে R এর ডোমেইন কী?","{1, 2, 3}","{2, 4, 6}","{1, 2, 3, 4, 6}","{1, 3, 5, 7}",A,"R এর ডোমেইন হল প্রথম উপাদানের সেট: {1, 2, 3}।",1
Functions,70,"যদি S = {(1, 3), (2, 3), (3, 5)} হয়, তবে S এর রেঞ্জ কী?","{1, 2, 3}","{3, 5}","{1, 2, 3, 5}","{2, 3, 5}",B,"S এর রেঞ্জ হল দ্বিতীয় উপাদানের সেট: {3, 5}।",2
Functions,71,"যদি f(x) = x^2 + 1 হয়, তবে f(-3) কী?",10,9,8,7,A,f(-3) = (-3)^2 + 1 = 9 + 1 = 10।,3
Functions,72,"যদি g(x) = 2x^2 - 3x + 4 হয়, তবে g(-2) কী?",18,10,11,12,A,g(-2) = 2(-2)^2 - 3(-2) + 4 = 2(4) + 6 + 4 = 8 + 6 + 4 = 18।,3
Functions,73,"যদি f(x) = x^3 - 2x + 1 হয়, তবে f(1) কী?",0,1,2,3,A,f(1) = 1^3 - 2(1) + 1 = 1 - 2 + 1 = 0।,4
Functions,74,"যদি R = {(1, 2), (2, 3), (3, 4)} হয়, তবে R কি একটি ফাংশন?",হ্যাঁ,না,শুধুমাত্র যদি প্রসারিত হয়,শুধুমাত্র যদি সংক্ষিপ্ত হয়,A,"ডোমেইন {1, 2, 3} এর প্রতিটি উপাদান রেঞ্জে ঠিক একটি উপাদানের সাথে ম্যাপ করে, তাই R একটি ফাংশন।",4
Functions,75,"যদি f(x) = 2x + 5 হয়, তবে f(x) = 13 হলে x-এর মান কত?",2,3,4,5,C,"13 = 2x + 5, তাই 2x = 8, x = 4।",5
Functions,76,"যদি g(x) = x^2 - 4x + 4 হয়, তবে g(2) কী?",0,1,2,3,A,g(2) = 2^2 - 4(2) + 4 = 4 - 8 + 4 = 0।,5
Functions,77,"যদি f(x) = x^3 - 2x^2 + 3x - 1 হয়, তবে f(-1) কী?",-7,-5,-3,-1,A,f(-1) = (-1)^3 - 2(-1)^2 + 3(-1) - 1 = -1 - 2 - 3 - 1 = -7।,6
Functions,78,"যদি S = {(1, 1), (2, 2), (3, 3)} হয়, তবে S এর ডোমেইন কী?","{1, 2, 3}","{1, 2}","{1, 2, 3, 4}","{1, 3}",A,"ডোমেইন হল প্রথম উপাদানের সেট: {1, 2, 3}।",4
Functions,79,"যদি f(x) = (3x + 2)/(x - 1) হয়, তবে f(2) কী?",8,7,6,5,A,f(2) = (3(2) + 2)/(2 - 1) = (6 + 2)/1 = 8।,6
Functions,80,"যদি g(x) = x^2 - 5x + 6 হয়, তবে g(x) = 0 হলে x-এর মান কত?","x = 2, x = 3","x = 1, x = 6","x = -2, x = -3",x = 0,A,"g(x) = x^2 - 5x + 6 = (x - 2)(x - 3) = 0, তাই x = 2 বা x = 3।",7
Functions,81,"যদি R = {(1, 2), (1, 3), (2, 4)} হয়, তবে R কি একটি ফাংশন?",হ্যাঁ,না,শুধুমাত্র যদি প্রসারিত হয়,শুধুমাত্র যদি সংক্ষিপ্ত হয়,B,"উপাদান 1 উভয় 2 এবং 3-এর সাথে ম্যাপ করে, তাই R একটি ফাংশন নয়।",6
Functions,82,"যদি f(x) = x^3 + 2x^2 - x - 2 হয়, তবে f(1) কী?",0,1,2,3,A,f(1) = 1^3 + 2(1)^2 - 1 - 2 = 1 + 2 - 1 - 2 = 0।,7
Kinds of Nouns,1,Which of the following is a proper noun?,city,Dhaka,street,park,B,A proper noun names a specific place. Dhaka is a specific city.,1
Kinds of Nouns,2,Identify the common noun in the sentence: Salma reads a book.,Salma,book,reads,a,B,A common noun refers to a general class. Book is a general term.,2
Kinds of Nouns,3,What type of noun is 'team' in the sentence: The team won the match?,Proper,Common,Collective,Abstract,C,A collective noun names a group. Team refers to a group of players.,3
Kinds of Nouns,4,Fill in the blank: The ___ of the river is breathtaking.,beauty (abstract),water (material),Ganges (proper),fish (common),A,An abstract noun names a quality. Beauty is a quality of the river.,4
Kinds of Nouns,5,Which noun is a material noun?,happiness,silver,family,London,B,A material noun names a substance. Silver is a material.,5
Number,26,What is the plural form of 'child'?,childs,children,childes,childrens,B,Child forms its plural as children.,1
Number,27,Choose the correct plural form: The ___ are in the field.,cowes,cows,cowies,cowen,B,Cow forms its plural by adding s.,2
Number,28,Which sentence uses the correct plural form?,The bookes are on the table.,The books are on the table.,The bookies are on the table.,The book are on the table.,B,Book forms its plural by adding s.,3
Number,29,Fill in the blank: The ___ of the story were exciting.,plots,plottes,plotes,plotses,A,Plot forms its plural by adding s.,4
Number,30,What is the plural form of 'leaf'?,leafs,leaves,leafes,leavies,B,Leaf forms its plural by changing f to ves.,5
Gender,56,What gender does the noun 'goddess' denote?,Masculine,Feminine,Common,Neuter,B,Goddess refers to a female deity.,6
Gender,57,Choose the feminine form of 'drake'.,duck,drakess,drakette,drace,A,The feminine form of drake is duck.,7
Gender,58,Which noun is of common gender?,uncle,aunt,doctor,pen,C,A common gender noun refers to both male and female. Doctor fits this.,8
Gender,59,Correct the pronoun error: The dog is loyal. She guards the house.,He,It,They,No change,B,"Dog is typically neuter unless gender is specified, so she should be it.",9
Gender,60,Which noun is neuter gender?,minister,camera,gander,goose,B,Neuter gender nouns denote inanimate objects. Camera is inanimate.,10
Possessives and Appositives,80,Which sentence correctly uses a possessive?,The dogs tail is long.,The dog's tail is long.,The dogs' tail is long.,The dog tail is long.,B,Singular noun dog takes 's for possessive.,5
Possessives and Appositives,81,What is the possessive form of 'men'?,mens,men's,men,mens',B,Plural noun men takes 's for possessive.,6
Possessives and Appositives,82,"Identify the appositive: My friend, Nazrul, is a poet.",Nazrul,friend,is,poet,A,An appositive renames another noun. Nazrul renames friend.,7
Possessives and Appositives,83,Correct the possessive form: The womans club is open.,women's,woman's,womens',woman,A,"Plural of woman is women, possessive is women's.",8
Possessives and Appositives,84,Which sentence correctly uses both a possessive and an appositive?,"Rina's sister, a doctor is kind.","Rinas' sister, a doctor, is kind.","Rina sister, a doctor, is kind.",Rina's sister a doctor is kind.,A,"Rina's is the possessive form, a doctor is an appositive.",9
Possessives and Appositives,85,"What is the possessive form of 'conscience' in: For ___ sake, be honest.",conscience's,consciences,conscience,consciences',C,For conscience' sake omits s to avoid hissing sound.,10
