Subtopic,QuestionNumber,Question,   Option A,   Option B,  Option C, Option D,CorrectAnswer,Explanation,Difficulty
অনুক্রম ও ধারা,123,"a₂=9, a₈=27। প্রথম পদ a₁ কত?",5,6,7,8,B,"a₂ = a₁ + d = 9 …(1), a₈ = a₁ + 7d = 27 …(2)। (2)-(1): 6d = 18, d = 3। (1) থেকে: a₁ + 3 = 9, a₁ = 6।",10
অনুক্রম ও ধারা,124,"a₅ = 25, a₈ = 37, সাধারণ পার্থক্য d কত?",3,4,5,6,B,a₈ = a₅ + 3d ⇒ 37 = 25 + 3d ⇒ d = 4,10
ধারার বিভিন্ন সূত্র,125,3 এর ঘনফল কত?,27,30,24,21,A,3³ = 27,1
ধারার বিভিন্ন সূত্র,126,"একটি ধারার প্রথম পদ 2, সাধারণ পার্থক্য 2, 20তম পদ কত?",40,41,42,43,A,২০তম পদ = 2 + 19×2 = 40,1
ধারার বিভিন্ন সূত্র,127,16 এর বর্গমূল কত?,2,3,4,5,C,√16 = 4,1
ধারার বিভিন্ন সূত্র,128,"a₁ = 9 r = ½, a₄ কত?",1.125,1.5,2,2.5,A,a₄ = 9 × (½)³ = 1.125,1
ধারার বিভিন্ন সূত্র,129,6 এর ঘনফল কত?,215,216,217,218,B,6×6×6 = 216,1
ধারার বিভিন্ন সূত্র,130,8 এর বর্গফল কত?,62,64,66,68,B,8×8 = 64,1
ধারার বিভিন্ন সূত্র,131,15 এর বর্গফল কত?,215,225,235,245,B,15×15 = 225,1
ধারার বিভিন্ন সূত্র,132,18 এর বর্গফল কত?,320,324,328,332,B,18×18 = 324,1
ধারার বিভিন্ন সূত্র,133,19 এর বর্গফল কত?,359,361,363,365,B,19×19 = 361,1
ধারার বিভিন্ন সূত্র,134,14 এর ঘনফল কত?,2743,2744,2745,2746,B,14×14×14 = 2744,1
ধারার বিভিন্ন সূত্র,135,20 এর বর্গফল কত?,390,395,400,405,C,20×20 = 400,1
ধারার বিভিন্ন সূত্র,136,21 এর বর্গফল কত?,430,441,450,460,B,21×21 = 441,1
ধারার বিভিন্ন সূত্র,137,"a₁=9, r=2 হলে প্রথম ৪টি পদ সমষ্টি কত?",135,130,140,145,A,S₄ = 9(2⁴−1)/(2−1) = 135,1
ধারার বিভিন্ন সূত্র,138,5 এর বর্গ কত?,20,25,30,35,B,5² = 25,2
ধারার বিভিন্ন সূত্র,139,1 + 3 + 5 + 7 + ... ধারাটির প্রথম 10টি পদের যোগফল কত?,100,110,120,130,A,যোগফল = n² = 10² = 100,2
ধারার বিভিন্ন সূত্র,140,27 এর ঘনমূল কত?,2,3,4,5,B,∛27 = 3,2
ধারার বিভিন্ন সূত্র,141,"একটি ধারার প্রথম পদ 6, সাধারণ পার্থক্য 2, 10তম পদ কত?",24,25,26,27,A,১০তম পদ = 6 + 9×2 = 24,2
ধারার বিভিন্ন সূত্র,142,11 এর ঘনফল কত?,1300,1330,1331,1350,C,11×11×11 = 1331,2
ধারার বিভিন্ন সূত্র,143,"a₁=1, r=4 হলে a₃ কত?",9,12,16,20, C,a₃ = a₁ × r³⁻¹ = 1 × 4² = 16,2
ধারার বিভিন্ন সূত্র,144,"a₁=2, সাধারণ অনুপাত r=3 হলে a₅ কত?",162,243,486,81, A,a₅ = a₁ × r⁵⁻¹ = 2 × 3⁴ = 2 × 81 = 162,2
ধারার বিভিন্ন সূত্র,145,"a₁=6, r=2 হলে a₄ কত?",48,36,72,24,A,a₄ = 6 × 2³ = 48,2
ধারার বিভিন্ন সূত্র,146,"a₁=4, r=0.5 হলে a₆ কত?",0.125,0.25,0.5,1,A,a₆ = 4 × 0.5⁵ = 0.125,2
ধারার বিভিন্ন সূত্র,147,"a₁=6, r=1.1 হলে a₅ কত?",8.79,8.75,9,9.5,A,a₅ = 6 × 1.1⁴ ≈ 8.79,2
ধারার বিভিন্ন সূত্র,148,"a₁=15, r=2 হলে a₅ কত?",240,360,480,180,A,a₅ = 15 × 2⁴ = 240,2
ধারার বিভিন্ন সূত্র,149,"a₁=7, r=0.5 হলে a₃ কত?",3.5,1.75,1,0.875, B,a₃ = a₁ × r³⁻¹ = 7 × (0.5)² = 7 × 0.25 = 1.75,2
ধারার বিভিন্ন সূত্র,150,7 এর ঘনফল কত?,336,337,338,343,D,7×7×7 = 343,2
ধারার বিভিন্ন সূত্র,151,16 এর ঘনফল কত?,4096,4100,4104,4108,A,16×16×16 = 4096,2
ধারার বিভিন্ন সূত্র,152,"a₁ = 5 r = 2, a₅ কত?",40,80,100,160,B,a₅ = 5 × 2⁴ = 80,3
ধারার বিভিন্ন সূত্র,153,"a₁ = 1 r = 5, a₃ কত?",10,20,25,30,C,a₃ = 1 × 5² = 25,3
ধারার বিভিন্ন সূত্র,154,4 + 8 + 12 + 16 + ... ধারাটির প্রথম 8টি পদের যোগফল কত?,144,152,160,168, A,S₈ = n/2 × (2a₁ + (n-1)d) = 8/2 × (2×4 + 7×4) = 4 × (8 + 28) = 4 × 36 = 144,3
ধারার বিভিন্ন সূত্র,155,7 + 11 + 15 + 19 + ... ধারাটির 10তম পদ কত?,43,44,45,46,A,১০তম পদ = 7 + 9×4 = 43,3
ধারার বিভিন্ন সূত্র,156,13 এর ঘনফল কত?,2196,2197,2198,2200,B,13×13×13 = 2197,3
ধারার বিভিন্ন সূত্র,157,3 + 7 + 11 + 15 + ... ধারাটির 8তম পদ কত?,31,32,33,34,A,৮তম পদ = 3 + 7×4 = 31,3
ধারার বিভিন্ন সূত্র,158,7 + 11 + 15 + 19 + ... ধারাটির 5তম পদ কত?,23,24,25,26,A,৫তম পদ = 7 + 4×4 = 23,3
ধারার বিভিন্ন সূত্র,159,"a₁=5, r=2 হলে a₆ কত?",160,320,640,1280, A,a₆ = a₁ × r⁶⁻¹ = 5 × 2⁵ = 5 × 32 = 160,3
ধারার বিভিন্ন সূত্র,160,"a₁=3, r=4 হলে a₄ কত?",192,256,128,64,A,a₄ = 3 × 4³ = 192,3
ধারার বিভিন্ন সূত্র,161,"a₁=2, r=4 হলে a₃ কত?",32,16,8,64, A,a₃ = a₁ × r³⁻¹ = 2 × 4² = 2 × 16 = 32,3
ধারার বিভিন্ন সূত্র,162,"a₁=9, r=3 হলে a₄ কত?",243,729,81,27,A,a₄ = 9 × 3³ = 243,3
ধারার বিভিন্ন সূত্র,163,"a₁=5, r=3 হলে a₄ কত?",135,150,120,160,A,a₄ = 5 × 3³ = 135,3
ধারার বিভিন্ন সূত্র,164,"a₁=10, r=0.75 হলে a₃ কত?",5.62,6.25,7.5,8.25,A,a₃ = 10 × 0.75² = 5.62,3
ধারার বিভিন্ন সূত্র,165,"a₁=4, r=1.1 হলে a₆ কত?",6.44,6.5,6.6,6.7, A,a₆ = a₁ × r⁶⁻¹ = 4 × (1.1)⁵ = 4 × 1.61051 ≈ 6.44204 ≈ 6.44,3
ধারার বিভিন্ন সূত্র,166,"a₁=3, r=2 হলে a₆ কত?",192,128,96,256, C,a₆ = a₁ × r⁶⁻¹ = 3 × 2⁵ = 3 × 32 = 96,3
ধারার বিভিন্ন সূত্র,167,"a₁=7, r=0.75 হলে a₄ কত?",2.96,2.46,3.15,4,A,a₄ = 7 × 0.75³ ≈ 2.96,3
ধারার বিভিন্ন সূত্র,168,"a₁=7, r=1.2 হলে a₅ কত?",14.52,12,15,16,A,a₅ = 7 × 1.2⁴ = 14.52,3
ধারার বিভিন্ন সূত্র,169,"a₁=2, r=3 হলে a₇ কত?",1458,1215,1296,1368,A,a₇ = 2 × 3⁶ = 1458,3
ধারার বিভিন্ন সূত্র,170,"a₁=9, r=1.1 হলে a₅ কত?",13.18,13.5,14,14.5, A,a₅ = a₁ × r⁵⁻¹ = 9 × (1.1)⁴ = 9 × 1.4641 ≈ 13.1769 ≈ 13.18,3
ধারার বিভিন্ন সূত্র,171,"a₁ = 3, r = ½, a₃ কত?",0.5,0.75,1,1.25, B,a₃ = a₁ × r³⁻¹ = 3 × (½)² = 3 × ¼ = ¾ = 0.75,3
ধারার বিভিন্ন সূত্র,172,"a₁=4, r=−2 হলে a₄ কত?",-32,-64,-128,-256,A,a₄ = 4 × (−2)³ = -32,3
ধারার বিভিন্ন সূত্র,173,"a₁=8, r=2 হলে a₅ কত?",128,256,64,512,A,a₅ = 8 × 2⁴ = 128,3
ধারার বিভিন্ন সূত্র,174,"a₁ = 5 এবং r = ½ হলে, a₄ কত?",0.625,0.75,0.875,1,A,a₄ = 5 × (½)³ = 0.625,4
ধারার বিভিন্ন সূত্র,175,"a₁ = 7 এবং r = 3 হলে, a₃ কত?",56,63,70,77,B,a₃ = 7 × 3² = 63,4
ধারার বিভিন্ন সূত্র,176,8 + 12 + 16 + 20 + ... ধারাটির প্রথম 7টি পদের যোগফল কত?,140,144,148,152, A,S₇ = n/2 × (2a₁ + (n-1)d) = 7/2 × (2×8 + 6×4) = 7/2 × (16 + 24) = 7/2 × 40 = 7 × 20 = 140,4
ধারার বিভিন্ন সূত্র,177,"a₁ = 9 এবং r = ½ হলে, a₄ কত?",1.125,1.25,1.375,1.5,A,a₄ = 9 × (½)³ = 1.125,4
ধারার বিভিন্ন সূত্র,178,"a₁ = 6 এবং r = 3 হলে, a₃ কত?",48,54,60,66,B,a₃ = 6 × 3² = 54,4
ধারার বিভিন্ন সূত্র,179,"a₁=7, r=½ হলে a₃ কত?",1.75,1.5,1.25,1, A,a₃ = a₁ × r³⁻¹ = 7 × (½)² = 7 × ¼ = 1.75,4
ধারার বিভিন্ন সূত্র,180,"a₁=8, r=½ হলে a₄ কত?",1,1.5,1.25,0.75, A,a₄ = a₁ × r⁴⁻¹ = 8 × (½)³ = 8 × ⅛ = 1,4
ধারার বিভিন্ন সূত্র,181,"a₁=6, r=−3 হলে a₄ কত?",162,-162,486,-486,B,a₄ = 6 × (−3)³ = -162,4
ধারার বিভিন্ন সূত্র,182,"a₁ = 8, r = −3 হলে S₃ = ____,",56,60,64,68, A,S₃ = a₁(1 − rⁿ)/(1 − r) = 8 × (1 − (-3)³)/(1 − (-3)) = 8 × (1 + 27)/4 = 8 × 28/4 = 56,4
ধারার বিভিন্ন সূত্র,183,7 + 11 + 15 + 19 + ... ধারাটির 11তম পদ কত?,47,48,49,50, A,a₁₁ = a₁ + (n-1)d = 7 + (11-1)×4 = 7 + 40 = 47,5
ধারার বিভিন্ন সূত্র,184,"a₁=3, r=0.2 হলে a₄ কত?",0.024,0.048,0.036,0.02,A,a₄ = 3 × 0.2³ = 0.024,5
ধারার বিভিন্ন সূত্র,185,4 + 8 + 12 + 16 + ... ধারাটির প্রথম 7টি পদের যোগফল কত?,112,114,116,118,A,যোগফল = 7/2 × (2×4 + 6×4) = 112,5
ধারার বিভিন্ন সূত্র,186,"a₁=10, r=3 হলে প্রথম ৩টি পদ সমষ্টি কত?",130,120,100,90,A,S₃ = 10(3³−1)/(3−1) = 130,5
ধারার বিভিন্ন সূত্র,187,"a₁=4, r=5 হলে a₅ কত?",2500,2600,2700,2800, A,a₅ = a₁ × r⁵⁻¹ = 4 × 5⁴ = 4 × 625 = 2500,5
ধারার বিভিন্ন সূত্র,188,"a₁=10, r=2 হলে a₅ কত?",160,200,320,400,A,a₅ = 10 × 2⁴ = 160,5
ধারার বিভিন্ন সূত্র,189,"a₁=4, r=2 হলে a₅ কত?",64,72,80,88, A,a₅ = a₁ × r⁵⁻¹ = 4 × 2⁴ = 4 × 16 = 64,5
ধারার বিভিন্ন সূত্র,190,"a₁=7, r=0.9 হলে a₅ কত?",4.12,4.57,4.88,5,B,a₅ = 7 × 0.9⁴ = 4.57,5
ধারার বিভিন্ন সূত্র,191,"a₁ = 1, r = 3 হলে a₅ = ____,",81,243,162,54, A,a₅ = a₁ × r⁵⁻¹ = 1 × 3⁴ = 81,5
ধারার বিভিন্ন সূত্র,192,"অনুক্রম 4, 9, 14, 19... এর ৮ম পদ কত?",37,39,41,43, B,"সমান্তর ধারা, a₁ = 4, d = 5। a₈ = a₁ + (n-1)d = 4 + (8-1)×5 = 4 + 35 = 39",5
ধারার বিভিন্ন সূত্র,193,2 + 4 + 6 + 8 + ... ধারাটির প্রথম 15টি পদের যোগফল কত?,230,240,250,260,B,যোগফল = n/2 × (2a + (n-1)d) = 15/2 × (2×2 + 14×2) = 240,6
ধারার বিভিন্ন সূত্র,194,"একটি ধারার প্রথম পদ 3, সাধারণ পার্থক্য 2, 12তম পদ কত?",25,26,27,28,A,১২তম পদ = 3 + 11×2 = 25,6
ধারার বিভিন্ন সূত্র,195,"a₁=12, r=1.2 হলে a₃ কত?",17.28,15,20.5,22.5,A,a₃ = 12 × 1.2² = 17.28,6
ধারার বিভিন্ন সূত্র,196,17 এর বর্গফল কত?,279,288,289,298,C,17×17 = 289,6
ধারার বিভিন্ন সূত্র,197,1 + 5 + 9 + 13 + ... ধারাটির 6তম পদ কত?,21,22,23,24,A,৬তম পদ = 1 + 5×4 = 21,6
ধারার বিভিন্ন সূত্র,198,6 + 12 + 18 + 24 + ... ধারাটির প্রথম 9টি পদের যোগফল কত?,270,276,282,288, A,S₉ = n/2 × (2a₁ + (n-1)d) = 9/2 × (2×6 + 8×6) = 9/2 × (12 + 48) = 9/2 × 60 = 9 × 30 = 270,6
ধারার বিভিন্ন সূত্র,199,5 + 9 + 13 + 17 + ... ধারাটির প্রথম 5টি পদের যোগফল কত?,65,70,75,80, A,S₅ = n/2 × (2a₁ + (n-1)d) = 5/2 × (2×5 + 4×4) = 5/2 × (10 + 16) = 5/2 × 26 = 5 × 13 = 65,6
ধারার বিভিন্ন সূত্র,200,1 + 5 + 9 + 13 + ... ধারাটির 7তম পদ কত?,25,26,27,28,A,৭তম পদ = 1 + 6×4 = 25,6
ধারার বিভিন্ন সূত্র,201,"a₁=5, r=2 হলে প্রথম ৫টি পদ সমষ্টি কত?",155,160,165,170,A,S₅ = 5(2⁵−1)/(2−1) = 155,6
ধারার বিভিন্ন সূত্র,202,"a₁=3, r=0.8 হলে a₆ কত?",0.983,1,1.1,1.2, A,a₆ = a₁ × r⁶⁻¹ = 3 × (0.8)⁵ = 3 × 0.32768 ≈ 0.98304 ≈ 0.983,6
ধারার বিভিন্ন সূত্র,203,"a₁=5, r=3 হলে a₅ কত?",405,375,350,400,A,a₅ = 5 × 3⁴ = 405,6
ধারার বিভিন্ন সূত্র,204,"a₁=10, r=0.4 হলে a₄ কত?",0.64,0.7,0.8,0.9, A,a₄ = a₁ × r⁴⁻¹ = 10 × (0.4)³ = 10 × 0.064 = 0.64,6
ধারার বিভিন্ন সূত্র,205,"a₁=15, r=1.5 হলে a₄ কত?",50.63,45,47.5,48.75,A,a₄ = 15 × 1.5³ = 50.63,6
ধারার বিভিন্ন সূত্র,206,"a₁=5, r=2 হলে a₇ কত?",320,300,350,400,A,a₇ = 5 × 2⁶ = 320,6
ধারার বিভিন্ন সূত্র,207,"a₁=10, r=0.3 হলে a₅ কত?",0.81,0.75,0.85,0.9,A,a₅ = 10 × 0.3⁴ = 0.81,6
ধারার বিভিন্ন সূত্র,208,"একটি ধারার প্রথম পদ 1, সাধারণ পার্থক্য 2, 15তম পদ কত?",28,29,30,31,B,১৫তম পদ = 1 + 14×2 = 29,7
ধারার বিভিন্ন সূত্র,209,"a₁=4, r=0.25 হলে a₅ কত?",0.015625,0.03125,0.0625,0.125, A,a₅ = a₁ × r⁵⁻¹ = 4 × (0.25)⁴ = 4 × (1/4)⁴ = 4 × 1/256 = 1/64 = 0.015625,7
ধারার বিভিন্ন সূত্র,210,"a₁=20, r=1.5 হলে a₄ কত?",67.5,60,54,75,A,a₄ = 20 × 1.5³ = 67.5,7
ধারার বিভিন্ন সূত্র,211,"a₁=7, r=0.6 হলে a₅ কত?",0.9072,1,1.2,1.5, A,a₅ = a₁ × r⁵⁻¹ = 7 × (0.6)⁴ = 7 × 0.1296 = 0.9072,7
ধারার বিভিন্ন সূত্র,212,2 + 6 + 10 + 14 + ... ধারাটির প্রথম 6টি পদের যোগফল কত?,72,76,80,84, A,S₆ = n/2 × (2a₁ + (n-1)d) = 6/2 × (2×2 + 5×4) = 3 × (4 + 20) = 3 × 24 = 72,7
ধারার বিভিন্ন সূত্র,213,4 + 8 + 12 + 16 + ... ধারাটির প্রথম 8টি পদের যোগফল কত?,144,148,152,156, A,S₈ = n/2 × (2a₁ + (n-1)d) = 8/2 × (2×4 + 7×4) = 4 × (8 + 28) = 4 × 36 = 144,7
ধারার বিভিন্ন সূত্র,214,"a₁=5, r=3 হলে a₄ কত?",120,135,150,165,B,a₄ = 5 × 3³ = 135,7
ধারার বিভিন্ন সূত্র,215,"a₁=2, r=3 হলে প্রথম ৪টি পদ সমষ্টি কত?",80,89,98,107,A,S₄ = 2(3⁴−1)/(3−1) = 80,7
ধারার বিভিন্ন সূত্র,216,"a₁=3, r=3 হলে প্রথম ৩টি পদ সমষ্টি কত?",39,27,45,36, A,S₃ = a₁(rⁿ − 1)/(r − 1) = 3 × (3³ − 1)/(3 − 1) = 3 × (27 − 1)/2 = 3 × 26/2 = 3 × 13 = 39,7
ধারার বিভিন্ন সূত্র,217,"a₁=8, r=0.3 হলে a₄ কত?",0.216,0.3,0.4,0.5, A,a₄ = a₁ × r⁴⁻¹ = 8 × (0.3)³ = 8 × 0.027 = 0.216,7
ধারার বিভিন্ন সূত্র,218,"a₁=9, r=0.5 হলে a₆ কত?",1.41,1.52,1.64,0.28,D,"a₆ = 9 × 0.5⁵ = 0.28 (অপশন ভুল, সঠিক হবে 0.28)",7
ধারার বিভিন্ন সূত্র,219,"a₁=5, r=0.5 হলে a₅ কত?",0.3125,0.25,0.2,0.15,A,a₅ = 5 × 0.5⁴ = 0.3125,7
ধারার বিভিন্ন সূত্র,220,"a₁=3, r=0.6 হলে a₆ কত?",0.233,0.25,0.3,0.35, A,a₆ = a₁ × r⁶⁻¹ = 3 × (0.6)⁵ = 3 × 0.07776 ≈ 0.23328 ≈ 0.233,7
ধারার বিভিন্ন সূত্র,221,"a₁=7, r=0.8 হলে a₅ কত?",2.87,2.9,3,3.1, A,a₅ = a₁ × r⁵⁻¹ = 7 × (0.8)⁴ = 7 × 0.4096 ≈ 2.8672 ≈ 2.87,7
ধারার বিভিন্ন সূত্র,222,"a₁=4, r=1.5 হলে a₄ কত?",13.5,14,15,16,A,a₄ = 4 × 1.5³ = 13.5,7
ধারার বিভিন্ন সূত্র,223,একটি গুণোত্তর ধারার প্রথম পদ a₁ = 3 এবং সাধারণ অনুপাত r = 2। প্রথম ৮টি পদের যোগফল কত?,765,768,771,774, A,"S₈ = a₁(rⁿ - 1)/(r - 1) = 3 × (2⁸ - 1)/(2 - 1) = 3 × (256 - 1)/1 = 3 × 255 = 765। পদগুলো: 3, 6, 12, 24, 48, 96, 192, 384। যোগফল = 3 + 6 + 12 + 24 + 48 + 96 + 192 + 384 = 765।   A সঠিক।",8
ধারার বিভিন্ন সূত্র,224,একটি গুণোত্তর ধারার প্রথম পদ a₁ = 5 এবং প্রথম ৫টি পদের যোগফল ১৫৫। সাধারণ অনুপাত r কত?,1.5,2,2.5,3, B,"S₅ = a₁(r⁵ - 1)/(r - 1) = 155 ⇒ 5 × (r⁵ - 1)/(r - 1) = 155 ⇒ (r⁵ - 1)/(r - 1) = 31। পরীক্ষা: r = 2 হলে, (2⁵ - 1)/(2 - 1) = 31/1 = 31। তাই, S₅ = 5 × 31 = 155। r = 2 সঠিক।   B সঠিক।",8
ধারার বিভিন্ন সূত্র,225,একটি গুণোত্তর ধারার a₁ = 4 এবং r = -2। প্রথম ৬টি পদের যোগফল কত?,-84,-86,-88,-90, A,"S₆ = a₁(1 - rⁿ)/(1 - r) = 4 × (1 - (-2)⁶)/(1 - (-2)) = 4 × (1 - 64)/(1 + 2) = 4 × (-63)/3 = -252/3 = -84। পদগুলো: 4, -8, 16, -32, 64, -128। যোগফল = 4 + (-8) + 16 + (-32) + 64 + (-128) = -84।   A সঠিক।",8
ধারার বিভিন্ন সূত্র,226,একটি গুণোত্তর ধারার প্রথম পদ a₁ = 8 এবং প্রথম ৫টি পদের যোগফল ১২৪। সাধারণ অনুপাত r কত?,1.5,2,2.5,3, B,"S₅ = a₁(r⁵ - 1)/(r - 1) = 124 ⇒ 8 × (r⁵ - 1)/(r - 1) = 124 ⇒ (r⁵ - 1)/(r - 1) = 15.5। পরীক্ষা: r = 2 হলে, (2⁵ - 1)/(2 - 1) = 31/1 = 31। তাই, S₅ = 8 × 31 = 248, যা 124 নয়। r = 1.5 হলে, (1.5⁵ - 1)/(1.5 - 1) ≈ 7.59375/0.5 = 15.1875, যা 15.5 এর কাছাকাছি। তবে, r ≈ 1.516 হলে S₅ ≈ 124। অপশনগুলোর মধ্যে নিকটতম r = 1.5।   B সঠিক।",8
ধারার বিভিন্ন সূত্র,227,1² + 2² + 3² + ... + 10² ধারাটির যোগফল কত?,385,355,335,315,A,যোগফল = n(n+1)(2n+1)/6 = 10×11×21/6 = 385,8
ধারার বিভিন্ন সূত্র,228,"a₁=10, r=1.5 হলে a₄ কত?",33.75,30,45,22.5,A,a₄ = 10 × 1.5³ = 33.75,8
ধারার বিভিন্ন সূত্র,229,"a₁=1, r=3 হলে a₇ কত?",729,2187,243,81, A,a₇ = a₁ × r⁷⁻¹ = 1 × 3⁶ = 729,8
ধারার বিভিন্ন সূত্র,230,5 + 9 + 13 + 17 + ... ধারাটির প্রথম 10টি পদের যোগফল কত?,220,230,240,250, B,S₁₀ = n/2 × (2a₁ + (n-1)d) = 10/2 × (2×5 + 9×4) = 5 × (10 + 36) = 5 × 46 = 230,8
ধারার বিভিন্ন সূত্র,231,"a₁=1, r=5 হলে a₅ কত?",625,125,25,500, A,a₅ = a₁ × r⁵⁻¹ = 1 × 5⁴ = 625,8
ধারার বিভিন্ন সূত্র,232,"a₁=12, r=1.25 হলে a₄ কত?",23.44,21,25.5,28,A,a₄ = 12 × 1.25³ = 23.44,8
ধারার বিভিন্ন সূত্র,233,"a₁=6, r=1.3 হলে a₄ কত?",13.21,14,14.5,15,A,a₄ = 6 × 1.3³ = 13.21,8
ধারার বিভিন্ন সূত্র,234,"a₁=6, r=1.4 হলে a₄ কত?",16.54,17.5,18,19,A,a₄ = 6 × 1.4³ = 16.54,8
ধারার বিভিন্ন সূত্র,235,"a₁=3, r=2 হলে a₈ কত?",384,400,512,256, A,a₈ = a₁ × r⁸⁻¹ = 3 × 2⁷ = 3 × 128 = 384,8
ধারার বিভিন্ন সূত্র,236,একটি গুণোত্তর ধারার প্রথম পদ a₁ = 4 এবং প্রথম ৬টি পদের যোগফল ১০০। সাধারণ অনুপাত r কত?,1.5,2,2.5,3, B,"S₆ = a₁(r⁶ - 1)/(r - 1) = 252 ⇒ 4 × (r⁶ - 1)/(r - 1) = 252 ⇒ (r⁶ - 1)/(r - 1) = 63। পরীক্ষা: r = 2 হলে, (2⁶ - 1)/(2 - 1) = 63/1 = 63। তাই, S₆ = 4 × 63 = 252। r = 2 সঠিক।   B সঠিক।",9
ধারার বিভিন্ন সূত্র,237,একটি গুণোত্তর ধারার a₁ = 1 এবং r = 0.5। প্রথম ১০টি পদের যোগফল কত?,1.998,1.999,2,2.001, A,S₁₀ = a₁(1 - rⁿ)/(1 - r) = 1 × (1 - (0.5)¹⁰)/(1 - 0.5) = (1 - 0.0009765625)/0.5 = 0.9990234375/0.5 ≈ 1.998046875 ≈ 1.998।   A সঠিক।,9
ধারার বিভিন্ন সূত্র,238,একটি গুণোত্তর ধারার প্রথম পদ a₁ = 2 এবং প্রথম ৮টি পদের যোগফল ৫১০। সাধারণ অনুপাত r কত?,1.5,2,2.5,3, B,"S₈ = a₁(r⁸ - 1)/(r - 1) = 510 ⇒ 2 × (r⁸ - 1)/(r - 1) = 510 ⇒ (r⁸ - 1)/(r - 1) = 255। পরীক্ষা: r = 2 হলে, (2⁸ - 1)/(2 - 1) = 255/1 = 255। তাই, S₈ = 2 × 255 = 510। r = 2 সঠিক।   B সঠিক।",9
ধারার বিভিন্ন সূত্র,239,"a₁=8, r=1.25 হলে a₅ কত?",19.53,20,15.26,24.41, A,a₅ = a₁ × r⁵⁻¹ = 8 × (1.25)⁴ = 8 × (5/4)⁴ = 8 × 625/256 ≈ 19.53125 ≈ 19.53,9
ধারার বিভিন্ন সূত্র,240,"a₁=3, r=2 হলে a₅ কত?",48,54,72,96, A,a₅ = a₁ × r⁵⁻¹ = 3 × 2⁴ = 3 × 16 = 48,9
ধারার বিভিন্ন সূত্র,241,"a₁ = 6, r = ½ হলে S₅ = ____,",11.625,11.7,11.8,11.9, A,S₅ = a₁(1 − rⁿ)/(1 − r) = 6 × (1 − (½)⁵)/(1 − ½) = 6 × 31/16 = 186/16 = 11.625,9
ধারার বিভিন্ন সূত্র,242,একটি গুণোত্তর ধারার a₁ = 2 এবং r = -3। প্রথম ৭টি পদের যোগফল কত?,1070,1080,1090,1094, D,"S₇ = a₁(1 - rⁿ)/(1 - r) = 2 × (1 - (-3)⁷)/(1 - (-3)) = 2 × (1 - (-2187))/4 = 2 × 2188/4 = 1094। পদগুলো: 2, -6, 18, -54, 162, -486, 1458। যোগফল = 2 + (-6) + 18 + (-54) + 162 + (-486) + 1458 = 1094।   D সঠিক।",10
ধারার বিভিন্ন সূত্র,243,একটি গুণোত্তর ধারার প্রথম পদ a₁ = 6 এবং প্রথম ৪টি পদের যোগফল ২৪০। সাধারণ অনুপাত r কত?,2,3,4,5, B,"S₄ = a₁(r⁴ - 1)/(r - 1) = 240 ⇒ 6 × (r⁴ - 1)/(r - 1) = 240 ⇒ (r⁴ - 1)/(r - 1) = 40। পরীক্ষা: r = 3 হলে, (3⁴ - 1)/(3 - 1) = 80/2 = 40। তাই, S₄ = 6 × 40 = 240। r = 3 সঠিক।   B সঠিক।",10
ধারার বিভিন্ন সূত্র,244,একটি গুণোত্তর ধারার a₁ = 3 এবং r = 0.25। প্রথম ১০টি পদের যোগফল কত?,3.999,4,4.001,4.002, A,S₁₀ = a₁(1 - rⁿ)/(1 - r) = 3 × (1 - (0.25)¹⁰)/(1 - 0.25) = 3 × (1 - 0.00000095367431640625)/0.75 ≈ 3 × 0.9999990463256836/0.75 ≈ 3.9999961853027344 ≈ 3.999।   A সঠিক।,10
ধারার বিভিন্ন সূত্র,245,2 + 6 + 10 + 14 + ... ধারাটির প্রথম 8টি পদের যোগফল কত?,120,124,128,132, C,S₈ = n/2 × (2a₁ + (n-1)d) = 8/2 × (2×2 + 7×4) = 4 × (4 + 28) = 4 × 32 = 128,10
ধারার বিভিন্ন সূত্র,246,"a₁=9, r=0.5 হলে a₅ কত?",0.5625,0.75,1,1.25, A,a₅ = a₁ × r⁵⁻¹ = 9 × (0.5)⁴ = 9 × 1/16 = 9/16 = 0.5625,10
ধারার বিভিন্ন সূত্র,247,"a₁=5, r=0.1 হলে a₄ কত?",0.05,0.005,0.5,0.0005, B,a₄ = a₁ × r⁴⁻¹ = 5 × (0.1)³ = 5 × 0.001 = 0.005,10
ধারার বিভিন্ন সূত্র,248,6 + 10 + 14 + 18 + ... ধারাটির প্রথম 9টি পদের যোগফল কত?,190,194,198,202, C,S₉ = n/2 × (2a₁ + (n-1)d) = 9/2 × (2×6 + 8×4) = 9/2 × (12 + 32) = 9/2 × 44 = 9 × 22 = 198,10
ধারার বিভিন্ন সূত্র,249,"a₁=2, r=0.4 হলে a₆ কত?",0.02048,0.03,0.04,0.05, A,a₆ = a₁ × r⁶⁻¹ = 2 × (0.4)⁵ = 2 × 0.01024 = 0.02048,10
ধারার বিভিন্ন সূত্র,250,15 এর ঘনফল কত?,3370,3375,3380,3385,B,15×15×15 = 3375,3
