Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,138,0.272727... এর মান কত?,3/11,1/5,2/7,4/15,A,0.272727... হল 3/11 এর পুনরাবৃত্ত দশমিক রূপ।,4,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,139,0.454545... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,5/11,4/11,3/10,2/9,A,0.454545... হল 5/11 এর পুনরাবৃত্ত দশমিক রূপ।,4,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,140,0.121212... এর মান কত?,5/31,3/25,2/21,4/33,D,0.121212... হল 4/33 এর পুনরাবৃত্ত দশমিক রূপ।,4,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,141,0.090909... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,4/41,2/21,3/32,1/11,D,0.090909... হল 1/11 এর পুনরাবৃত্ত দশমিক রূপ।,5,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,142,0.787878... এর মান কত?,80/101,79/98,77/100,78/99,D,0.787878... হল 78/99 এর পুনরাবৃত্ত দশমিক রূপ।,5,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,143,0.818181... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,6/7,8/10,7/9,9/11,D,0.818181... হল 9/11 এর পুনরাবৃত্ত দশমিক রূপ।,5,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,144,0.656565... এর মান কত?,19/29,22/34,20/31,21/33,D,0.656565... হল 21/33 এর পুনরাবৃত্ত দশমিক রূপ।,5,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,145,0.363636... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,7/19,5/13,3/8,4/11,D,0.363636... হল 4/11 এর পুনরাবৃত্ত দশমিক রূপ।,5,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,146,0.232323... এর মান কত?,24/100,22/98,21/97,23/99,D,0.232323... হল 23/99 এর পুনরাবৃত্ত দশমিক রূপ।,5,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,147,0.454545... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,2/9,4/11,3/10,5/11,D,0.454545... হল 5/11 এর পুনরাবৃত্ত দশমিক রূপ।,6,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,148,0.787878... এর মান কত?,80/101,79/98,77/100,78/99,D,0.787878... হল 78/99 এর পুনরাবৃত্ত দশমিক রূপ।,6,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,149,0.090909... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,4/41,2/21,3/32,1/11,D,0.090909... হল 1/11 এর পুনরাবৃত্ত দশমিক রূপ।,6,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,150,0.272727... এর মান কত?,4/15,1/5,2/7,3/11,D,0.272727... হল 3/11 এর পুনরাবৃত্ত দশমিক রূপ।,6,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,151,0.363636... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,2/9,5/12,3/10,4/11,D,0.363636... হল 4/11 এর পুনরাবৃত্ত দশমিক রূপ।,7,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,152,0.454545... এর মান কত?,2/9,4/11,3/10,5/11,D,0.454545... হল 5/11 এর পুনরাবৃত্ত দশমিক রূপ।,7,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,153,0.878787... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,75/85,85/97,80/90,87/99,D,0.878787... হল 87/99 এর পুনরাবৃত্ত দশমিক রূপ।,7,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,154,0.121212... এর মান কত?,5/31,3/25,2/21,4/33,D,0.121212... হল 4/33 এর পুনরাবৃত্ত দশমিক রূপ।,7,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,155,0.272727... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,3/11,1/5,2/7,4/15,A,0.272727... হল 3/11 এর পুনরাবৃত্ত দশমিক রূপ।,7,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,156,0.787878... এর মান কত?,78/99,79/98,77/100,80/101,A,0.787878... হল 78/99 এর পুনরাবৃত্ত দশমিক রূপ।,7,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,157,0.818181... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,9/11,8/10,7/9,6/7,A,0.818181... হল 9/11 এর পুনরাবৃত্ত দশমিক রূপ।,8,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,158,0.656565... এর মান কত?,21/33,22/34,20/31,19/29,A,0.656565... হল 21/33 এর পুনরাবৃত্ত দশমিক রূপ।,8,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,159,0.363636... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,4/11,5/13,3/8,7/19,A,0.363636... হল 4/11 এর পুনরাবৃত্ত দশমিক রূপ।,8,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,160,0.232323... এর মান কত?,23/99,21/97,23/99,24/100,C,0.232323... হল 23/99 এর পুনরাবৃত্ত দশমিক রূপ।,8,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,161,0.090909... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,1/11,3/32,1/11,4/41,C,0.090909... হল 1/11 এর পুনরাবৃত্ত দশমিক রূপ।,9,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,162,0.787878... এর মান কত?,78/99,77/100,78/99,80/101,C,0.787878... হল 78/99 এর পুনরাবৃত্ত দশমিক রূপ।,9,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,163,0.818181... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,9/11,7/9,9/11,6/7,C,0.818181... হল 9/11 এর পুনরাবৃত্ত দশমিক রূপ।,9,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,164,0.656565... এর মান কত?,21/33,20/31,21/33,19/29,C,0.656565... হল 21/33 এর পুনরাবৃত্ত দশমিক রূপ।,9,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,165,0.363636... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,4/11,3/8,4/11,7/19,C,0.363636... হল 4/11 এর পুনরাবৃত্ত দশমিক রূপ।,9,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,166,0.232323... এর মান কত?,23/99,21/97,23/99,24/100,C,0.232323... হল 23/99 এর পুনরাবৃত্ত দশমিক রূপ।,9,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,167,0.454545... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,5/11,3/10,5/11,2/9,C,0.454545... হল 5/11 এর পুনরাবৃত্ত দশমিক রূপ।,10,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,168,0.787878... এর মান কত?,78/99,77/100,78/99,80/101,C,0.787878... হল 78/99 এর পুনরাবৃত্ত দশমিক রূপ।,10,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,169,0.090909... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,1/11,3/32,1/11,4/41,C,0.090909... হল 1/11 এর পুনরাবৃত্ত দশমিক রূপ।,10,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,170,0.272727... এর মান কত?,3/11,2/7,3/11,4/15,C,0.272727... হল 3/11 এর পুনরাবৃত্ত দশমিক রূপ।,10,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,171,0.363636... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,4/11,3/10,4/11,2/9,C,0.363636... হল 4/11 এর পুনরাবৃত্ত দশমিক রূপ।,10,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,172,0.454545... এর মান কত?,5/11,3/10,5/11,2/9,C,0.454545... হল 5/11 এর পুনরাবৃত্ত দশমিক রূপ।,10,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,173,0.878787... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,87/99,80/90,87/99,75/85,C,0.878787... হল 87/99 এর পুনরাবৃত্ত দশমিক রূপ।,10,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,174,0.121212... এর মান কত?,4/33,2/21,4/33,5/31,C,0.121212... হল 4/33 এর পুনরাবৃত্ত দশমিক রূপ।,10,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,175,0.272727... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,3/11,2/7,3/11,4/15,C,0.272727... হল 3/11 এর পুনরাবৃত্ত দশমিক রূপ।,10,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,176,0.787878... এর মান কত?,78/99,77/100,78/99,80/101,C,0.787878... হল 78/99 এর পুনরাবৃত্ত দশমিক রূপ।,10,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,177,0.787878... এর মান কত?,78/99,77/100,78/99,80/101,C,0.787878... হল 78/99 এর পুনরাবৃত্ত দশমিক রূপ।,10,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,178,0.818181... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,9/11,8/10,7/9,6/7,A,0.818181... হল 9/11 এর পুনরাবৃত্ত দশমিক রূপ।,10,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,179,0.656565... এর মান কত?,21/33,22/34,20/31,19/29,A,0.656565... হল 21/33 এর পুনরাবৃত্ত দশমিক রূপ।,10,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,180,0.727272... এর মান কত?,8/11,8/11,7/10,73/100,B,"ধরি, x = 0.727272... 100x = 72.727272... বিয়োগ করি: 100x - x = 72 ⇒ 99x = 72 ⇒ x = 72/99 = 8/11",10,,
অমূলদ সংখ্যা এবং প্রমাণ,181,√2 কি অমূলদ সংখ্যা?,হ্যাঁ,না,শুধুমাত্র পূর্ণসংখ্যা,শূন্য,A,√2 প্রমাণিত অমূলদ সংখ্যা কারণ এটি ভগ্নাংশ হিসেবে প্রকাশযোগ্য নয়।,1,,
অমূলদ সংখ্যা এবং প্রমাণ,182,π সংখ্যা কোন ধরনের সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,প্রাকৃতিক সংখ্যা,B,π একটি অমূলদ সংখ্যা কারণ এটি ভগ্নাংশ আকারে প্রকাশযোগ্য নয়।,1,,
অমূলদ সংখ্যা এবং প্রমাণ,183,√9 সংখ্যা কোন শ্রেণীর?,মূলদ,অমূলদ,বাস্তব,অবাস্তব,A,√9 = 3 যা একটি মূলদ সংখ্যা।,1,,
অমূলদ সংখ্যা এবং প্রমাণ,184,√4 সংখ্যা কোন শ্রেণীর?,মূলদ,অমূলদ,অবাস্তব,বাস্তব,A,√4 = 2 যা একটি মূলদ সংখ্যা।,1,,
অমূলদ সংখ্যা এবং প্রমাণ,185,1.4142135... সংখ্যাটি কোন শ্রেণীর?,মূলদ,অমূলদ,পূর্ণসংখ্যা,ভগ্নাংশ,B,"1.4142135... হল √2 এর দশমিক রূপ, যা একটি অমূলদ সংখ্যা।",1,,
অমূলদ সংখ্যা এবং প্রমাণ,186,√16 কোন ধরনের সংখ্যা?,মূলদ,অমূলদ,অবাস্তব,শূন্য,A,"√16 = 4, একটি মূলদ সংখ্যা।",1,,
অমূলদ সংখ্যা এবং প্রমাণ,187,√3 কি অমূলদ সংখ্যা?,হ্যাঁ,না,মূলদ,শূন্য,A,√3 অমূলদ কারণ এটি ভগ্নাংশ আকারে প্রকাশযোগ্য নয়।,2,,
অমূলদ সংখ্যা এবং প্রমাণ,188,√25 সংখ্যা কোন শ্রেণীর?,মূলদ,অমূলদ,অবাস্তব,ভগ্নাংশ,A,"√25 = 5, একটি মূলদ সংখ্যা।",2,,
অমূলদ সংখ্যা এবং প্রমাণ,189,√5 সংখ্যাটি কোন শ্রেণীর?,মূলদ,অমূলদ,পূর্ণসংখ্যা,ভগ্নাংশ,B,√5 অমূলদ কারণ এটি ভগ্নাংশ আকারে প্রকাশযোগ্য নয়।,2,,
অমূলদ সংখ্যা এবং প্রমাণ,190,π এর দশমিক রূপ কেমন?,আবদ্ধ ও পুনরাবৃত্ত,অনির্বচনীয় ও পুনরাবৃত্ত,অনির্বচনীয় ও অনির্বাচিত,আবদ্ধ ও অনির্বচনীয়,C,π এর দশমিক রূপ অনির্বচনীয় ও অনির্বাচিত (non-terminating and non-repeating)।,2,,
অমূলদ সংখ্যা এবং প্রমাণ,191,√8 সংখ্যাটি কোন শ্রেণীর?,মূলদ,অমূলদ,পূর্ণসংখ্যা,ভগ্নাংশ,B,"√8 হল 2√2, একটি অমূলদ সংখ্যা।",2,,
অমূলদ সংখ্যা এবং প্রমাণ,192,√49 সংখ্যা কোন শ্রেণীর?,মূলদ,অমূলদ,অবাস্তব,ভগ্নাংশ,A,"√49 = 7, একটি মূলদ সংখ্যা।",2,,
অমূলদ সংখ্যা এবং প্রমাণ,193,√7 কি অমূলদ সংখ্যা?,হ্যাঁ,না,মূলদ,শূন্য,A,√7 অমূলদ কারণ এটি ভগ্নাংশ আকারে প্রকাশযোগ্য নয়।,3,,
অমূলদ সংখ্যা এবং প্রমাণ,194,√36 কোন ধরনের সংখ্যা?,মূলদ,অমূলদ,অবাস্তব,ভগ্নাংশ,A,"√36 = 6, একটি মূলদ সংখ্যা।",3,,
অমূলদ সংখ্যা এবং প্রমাণ,195,√10 কি অমূলদ?,হ্যাঁ,না,পূর্ণসংখ্যা,ভগ্নাংশ,A,√10 অমূলদ কারণ এটি ভগ্নাংশ আকারে প্রকাশযোগ্য নয়।,3,,
অমূলদ সংখ্যা এবং প্রমাণ,196,√121 কোন ধরনের সংখ্যা?,মূলদ,অমূলদ,অবাস্তব,ভগ্নাংশ,A,"√121 = 11, একটি মূলদ সংখ্যা।",3,,
অমূলদ সংখ্যা এবং প্রমাণ,197,√11 কি অমূলদ?,হ্যাঁ,না,পূর্ণসংখ্যা,ভগ্নাংশ,A,√11 অমূলদ কারণ এটি ভগ্নাংশ আকারে প্রকাশযোগ্য নয়।,3,,
অমূলদ সংখ্যা এবং প্রমাণ,198,√100 সংখ্যা কোন শ্রেণীর?,মূলদ,অমূলদ,অবাস্তব,ভগ্নাংশ,A,"√100 = 10, একটি মূলদ সংখ্যা।",3,,
অমূলদ সংখ্যা এবং প্রমাণ,199,√12 কি অমূলদ?,হ্যাঁ,না,মূলদ,শূন্য,A,"√12 হল 2√3, যেখানে √3 অমূলদ, তাই √12 অমূলদ।",4,,
অমূলদ সংখ্যা এবং প্রমাণ,200,√144 কোন ধরনের সংখ্যা?,মূলদ,অমূলদ,অবাস্তব,ভগ্নাংশ,A,"√144 = 12, একটি মূলদ সংখ্যা।",4,,
অমূলদ সংখ্যা এবং প্রমাণ,201,√13 কি অমূলদ?,হ্যাঁ,না,পূর্ণসংখ্যা,ভগ্নাংশ,A,√13 অমূলদ কারণ এটি ভগ্নাংশ আকারে প্রকাশযোগ্য নয়।,4,,
অমূলদ সংখ্যা এবং প্রমাণ,202,√169 কোন ধরনের সংখ্যা?,মূলদ,অমূলদ,অবাস্তব,ভগ্নাংশ,A,"√169 = 13, একটি মূলদ সংখ্যা।",4,,
অমূলদ সংখ্যা এবং প্রমাণ,203,√14 কি অমূলদ?,হ্যাঁ,না,পূর্ণসংখ্যা,ভগ্নাংশ,A,√14 অমূলদ কারণ এটি ভগ্নাংশ আকারে প্রকাশযোগ্য নয়।,4,,
অমূলদ সংখ্যা এবং প্রমাণ,204,√196 কোন ধরনের সংখ্যা?,মূলদ,অমূলদ,অবাস্তব,ভগ্নাংশ,A,"√196 = 14, একটি মূলদ সংখ্যা।",4,,
অমূলদ সংখ্যা এবং প্রমাণ,205,√15 কি অমূলদ?,হ্যাঁ,না,মূলদ,শূন্য,A,√15 অমূলদ কারণ এটি ভগ্নাংশ আকারে প্রকাশযোগ্য নয়।,5,,
অমূলদ সংখ্যা এবং প্রমাণ,206,√225 কোন ধরনের সংখ্যা?,মূলদ,অমূলদ,অবাস্তব,ভগ্নাংশ,A,"√225 = 15, একটি মূলদ সংখ্যা।",5,,
অমূলদ সংখ্যা এবং প্রমাণ,207,√17 কি অমূলদ?,হ্যাঁ,না,পূর্ণসংখ্যা,ভগ্নাংশ,A,√17 অমূলদ কারণ এটি ভগ্নাংশ আকারে প্রকাশযোগ্য নয়।,5,,
অমূলদ সংখ্যা এবং প্রমাণ,208,√256 কোন ধরনের সংখ্যা?,মূলদ,অমূলদ,অবাস্তব,ভগ্নাংশ,A,"√256 = 16, একটি মূলদ সংখ্যা।",5,,
অমূলদ সংখ্যা এবং প্রমাণ,209,√18 কি অমূলদ?,হ্যাঁ,না,পূর্ণসংখ্যা,ভগ্নাংশ,A,"√18 হল 3√2, যেখানে √2 অমূলদ, তাই √18 অমূলদ।",5,,
অমূলদ সংখ্যা এবং প্রমাণ,210,√289 কোন ধরনের সংখ্যা?,অবাস্তব,অমূলদ,মূলদ,ভগ্নাংশ,C,"√289 = 17, একটি মূলদ সংখ্যা।",5,,
অমূলদ সংখ্যা এবং প্রমাণ,211,√19 কি অমূলদ?,মূলদ,না,হ্যাঁ,শূন্য,C,√19 অমূলদ কারণ এটি ভগ্নাংশ আকারে প্রকাশযোগ্য নয়।,6,,
অমূলদ সংখ্যা এবং প্রমাণ,212,√324 কোন ধরনের সংখ্যা?,অবাস্তব,অমূলদ,মূলদ,ভগ্নাংশ,C,"√324 = 18, একটি মূলদ সংখ্যা।",6,,
অমূলদ সংখ্যা এবং প্রমাণ,213,√20 কি অমূলদ?,পূর্ণসংখ্যা,না,হ্যাঁ,ভগ্নাংশ,C,"√20 হল 2√5, যেখানে √5 অমূলদ, তাই √20 অমূলদ।",6,,
অমূলদ সংখ্যা এবং প্রমাণ,214,√361 কোন ধরনের সংখ্যা?,অবাস্তব,অমূলদ,মূলদ,ভগ্নাংশ,C,"√361 = 19, একটি মূলদ সংখ্যা।",6,,
অমূলদ সংখ্যা এবং প্রমাণ,215,√21 কি অমূলদ?,পূর্ণসংখ্যা,না,হ্যাঁ,ভগ্নাংশ,C,√21 অমূলদ কারণ এটি ভগ্নাংশ আকারে প্রকাশযোগ্য নয়।,6,,
অমূলদ সংখ্যা এবং প্রমাণ,216,√400 কোন ধরনের সংখ্যা?,অবাস্তব,অমূলদ,মূলদ,ভগ্নাংশ,C,"√400 = 20, একটি মূলদ সংখ্যা।",6,,
অমূলদ সংখ্যা এবং প্রমাণ,217,√22 কি অমূলদ?,মূলদ,না,হ্যাঁ,শূন্য,C,√22 অমূলদ কারণ এটি ভগ্নাংশ আকারে প্রকাশযোগ্য নয়।,7,,
অমূলদ সংখ্যা এবং প্রমাণ,218,√441 কোন ধরনের সংখ্যা?,অবাস্তব,অমূলদ,মূলদ,ভগ্নাংশ,C,"√441 = 21, একটি মূলদ সংখ্যা।",7,,
অমূলদ সংখ্যা এবং প্রমাণ,219,√23 কি অমূলদ?,পূর্ণসংখ্যা,না,হ্যাঁ,ভগ্নাংশ,C,√23 অমূলদ কারণ এটি ভগ্নাংশ আকারে প্রকাশযোগ্য নয়।,7,,
অমূলদ সংখ্যা এবং প্রমাণ,220,√484 কোন ধরনের সংখ্যা?,অবাস্তব,অমূলদ,মূলদ,ভগ্নাংশ,C,"√484 = 22, একটি মূলদ সংখ্যা।",7,,
অমূলদ সংখ্যা এবং প্রমাণ,221,√24 কি অমূলদ?,পূর্ণসংখ্যা,না,হ্যাঁ,ভগ্নাংশ,C,"√24 হল 2√6, যেখানে √6 অমূলদ, তাই √24 অমূলদ।",7,,
অমূলদ সংখ্যা এবং প্রমাণ,222,√529 কোন ধরনের সংখ্যা?,অবাস্তব,অমূলদ,মূলদ,ভগ্নাংশ,C,"√529 = 23, একটি মূলদ সংখ্যা।",7,,
অমূলদ সংখ্যা এবং প্রমাণ,223,√26 কি অমূলদ?,মূলদ,না,হ্যাঁ,শূন্য,C,√26 অমূলদ কারণ এটি ভগ্নাংশ আকারে প্রকাশযোগ্য নয়।,8,,
অমূলদ সংখ্যা এবং প্রমাণ,224,√576 কোন ধরনের সংখ্যা?,অবাস্তব,অমূলদ,মূলদ,ভগ্নাংশ,C,"√576 = 24, একটি মূলদ সংখ্যা।",8,,
অমূলদ সংখ্যা এবং প্রমাণ,225,√27 কি অমূলদ?,পূর্ণসংখ্যা,না,হ্যাঁ,ভগ্নাংশ,C,"√27 হল 3√3, যেখানে √3 অমূলদ, তাই √27 অমূলদ।",8,,
অমূলদ সংখ্যা এবং প্রমাণ,226,√625 কোন ধরনের সংখ্যা?,অবাস্তব,অমূলদ,মূলদ,ভগ্নাংশ,C,"√625 = 25, একটি মূলদ সংখ্যা।",8,,
অমূলদ সংখ্যা এবং প্রমাণ,227,√28 কি অমূলদ?,পূর্ণসংখ্যা,না,হ্যাঁ,ভগ্নাংশ,C,"√28 হল 2√7, যেখানে √7 অমূলদ, তাই √28 অমূলদ।",8,,
অমূলদ সংখ্যা এবং প্রমাণ,228,√676 কোন ধরনের সংখ্যা?,অবাস্তব,অমূলদ,মূলদ,ভগ্নাংশ,C,"√676 = 26, একটি মূলদ সংখ্যা।",8,,
অমূলদ সংখ্যা এবং প্রমাণ,229,√29 কি অমূলদ?,মূলদ,না,হ্যাঁ,শূন্য,C,√29 অমূলদ কারণ এটি ভগ্নাংশ আকারে প্রকাশযোগ্য নয়।,9,,
অমূলদ সংখ্যা এবং প্রমাণ,230,√729 কোন ধরনের সংখ্যা?,মূলদ,অমূলদ,অবাস্তব,ভগ্নাংশ,A,"√729 = 27, একটি মূলদ সংখ্যা।",9,,
অমূলদ সংখ্যা এবং প্রমাণ,231,√30 কি অমূলদ?,হ্যাঁ,না,পূর্ণসংখ্যা,ভগ্নাংশ,A,"√30 হল √(2×3×5), যেখানে √2, √3, √5 সব অমূলদ, তাই √30 অমূলদ।",9,,
অমূলদ সংখ্যা এবং প্রমাণ,232,√784 কোন ধরনের সংখ্যা?,মূলদ,অমূলদ,অবাস্তব,ভগ্নাংশ,A,"√784 = 28, একটি মূলদ সংখ্যা।",9,,
অমূলদ সংখ্যা এবং প্রমাণ,233,√31 কি অমূলদ?,হ্যাঁ,না,পূর্ণসংখ্যা,ভগ্নাংশ,A,√31 অমূলদ কারণ এটি ভগ্নাংশ আকারে প্রকাশযোগ্য নয়।,9,,
অমূলদ সংখ্যা এবং প্রমাণ,234,√841 কোন ধরনের সংখ্যা?,মূলদ,অমূলদ,অবাস্তব,ভগ্নাংশ,A,"√841 = 29, একটি মূলদ সংখ্যা।",9,,
অমূলদ সংখ্যা এবং প্রমাণ,235,√33 কি অমূলদ?,হ্যাঁ,না,মূলদ,শূন্য,A,√33 অমূলদ কারণ এটি ভগ্নাংশ আকারে প্রকাশযোগ্য নয়।,10,,
অমূলদ সংখ্যা এবং প্রমাণ,236,√900 কোন ধরনের সংখ্যা?,মূলদ,অমূলদ,অবাস্তব,ভগ্নাংশ,A,"√900 = 30, একটি মূলদ সংখ্যা।",10,,
অমূলদ সংখ্যা এবং প্রমাণ,237,√34 কি অমূলদ?,হ্যাঁ,না,পূর্ণসংখ্যা,ভগ্নাংশ,A,√34 অমূলদ কারণ এটি ভগ্নাংশ আকারে প্রকাশযোগ্য নয়।,10,,
অমূলদ সংখ্যা এবং প্রমাণ,238,√961 কোন ধরনের সংখ্যা?,মূলদ,অমূলদ,অবাস্তব,ভগ্নাংশ,A,"√961 = 31, একটি মূলদ সংখ্যা।",10,,
অমূলদ সংখ্যা এবং প্রমাণ,239,√35 কি অমূলদ?,হ্যাঁ,না,পূর্ণসংখ্যা,ভগ্নাংশ,A,"√35 হল √(5×7), যেখানে √5 ও √7 অমূলদ, তাই √35 অমূলদ।",10,,
অমূলদ সংখ্যা এবং প্রমাণ,240,√1024 কোন ধরনের সংখ্যা?,মূলদ,অমূলদ,অবাস্তব,ভগ্নাংশ,A,"√1024 = 32, একটি মূলদ সংখ্যা।",10,,
অসীম দশমিক ভগ্নাংশ,241,π এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,3.14,3.15,3.13,3.16,A,"π এর মান প্রায় 3.1415, তাই ২ দশমিক পর্যন্ত আসন্ন মান 3.14।",1,,
অসীম দশমিক ভগ্নাংশ,242,√2 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,1.41,1.42,1.4,1.43,A,"√2 ≈ 1.414, তাই ২ দশমিক পর্যন্ত আসন্ন মান 1.41।",1,,
অসীম দশমিক ভগ্নাংশ,243,√3 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,1.73,1.74,1.72,1.75,A,"√3 ≈ 1.732, তাই ২ দশমিক পর্যন্ত আসন্ন মান 1.73।",1,,
অসীম দশমিক ভগ্নাংশ,244,√5 এর ১ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,2.2,2.3,2.1,2.4,A,"√5 ≈ 2.236, তাই ১ দশমিক পর্যন্ত আসন্ন মান 2.2।",1,,
অসীম দশমিক ভগ্নাংশ,245,√7 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,2.64,2.65,2.63,2.66,A,"√7 ≈ 2.6457, তাই ২ দশমিক পর্যন্ত আসন্ন মান 2.64।",1,,
অসীম দশমিক ভগ্নাংশ,246,π এর ৩ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,3.142,3.143,3.141,3.144,A,"π ≈ 3.14159, তাই ৩ দশমিক পর্যন্ত আসন্ন মান 3.142।",1,,
অসীম দশমিক ভগ্নাংশ,247,√10 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,3.16,3.15,3.17,3.18,A,"√10 ≈ 3.162, তাই ২ দশমিক পর্যন্ত আসন্ন মান 3.16।",2,,
অসীম দশমিক ভগ্নাংশ,248,√11 এর ১ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,3.3,3.2,3.1,3.4,A,"√11 ≈ 3.316, তাই ১ দশমিক পর্যন্ত আসন্ন মান 3.3।",2,,
অসীম দশমিক ভগ্নাংশ,249,√12 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,3.46,3.45,3.44,3.47,A,"√12 ≈ 3.464, তাই ২ দশমিক পর্যন্ত আসন্ন মান 3.46।",2,,
অসীম দশমিক ভগ্নাংশ,250,√13 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,3.6,3.61,3.59,3.62,A,"√13 ≈ 3.605, তাই ২ দশমিক পর্যন্ত আসন্ন মান 3.60।",2,,
অসীম দশমিক ভগ্নাংশ,251,√14 এর ১ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,3.7,3.6,3.5,3.8,A,"√14 ≈ 3.741, তাই ১ দশমিক পর্যন্ত আসন্ন মান 3.7।",2,,
অসীম দশমিক ভগ্নাংশ,252,√15 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,3.87,3.86,3.85,3.88,A,"√15 ≈ 3.872, তাই ২ দশমিক পর্যন্ত আসন্ন মান 3.87।",2,,
অসীম দশমিক ভগ্নাংশ,253,√16 এর আসন্ন মান কত?,4.0,3.0,5.0,2.0,A,"√16 = 4, আসন্ন মান ৪।",3,,
অসীম দশমিক ভগ্নাংশ,254,√17 এর ২ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,4.12,4.13,4.11,4.1,A,"√17 ≈ 4.123, তাই ২ দশমিক পর্যন্ত আসন্ন মান 4.12।",3,,
অসীম দশমিক ভগ্নাংশ,255,√18 এর ১ দশমিক স্থান পর্যন্ত আসন্ন মান কত?,4.2,4.3,4.1,4.4,A,"√18 ≈ 4.242, তাই ১ দশমিক পর্যন্ত আসন্ন মান 4.2।",3,,
