Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty,Column1,Column2,Column3,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12
বাস্তবভিত্তিক সমস্যার সহসমীকরণ গঠন ও সমাধান,85,একটি আয়তক্ষেত্রের দৈর্ঘ্য ২y  প্রস্থ y  পরিসীমা ৩০ মিটার। ক্ষেত্রফল কত?,50 বর্গমিটার,75 বর্গমিটার,100 বর্গমিটার,125 বর্গমিটার,C,2(2y + y) = 30  3y = 15  y = 5। d = 10। ক্ষেত্রফল = 10 \cdot 5 = 50।,10,,,,,,,,,,,,,
বাস্তবভিত্তিক সমস্যার সহসমীকরণ গঠন ও সমাধান,86,একটি বই ৬ টাকা  কলম ৪ টাকা। ৪টি বই ও ৩টি কলম ৩০ টাকা হলে  সমীকরণ কী?,4x + 3y = 30,6x + 4y = 30,4x + y = 30,6x + 3y = 30,A,৪টি বইয়ের দাম = 4 \cdot 6 = 24 টাকা  ৩টি কলম = 3 \cdot 4 = 12 টাকা। মোট ৩০ টাকা  তাই 4x + 3y = 30।,1,,,,,,,,,,,,,
বাস্তবভিত্তিক সমস্যার সহসমীকরণ গঠন ও সমাধান,87,একটি আপেল ৫ টাকা  কমলা ৩ টাকা। ৩টি আপেল ও ২টি কমলা ১৯ টাকা হলে  কমলার দাম y কত? ,2,3,4,5,B,5x + 3y = 19  x = 3। 5 \cdot 3 + 3y = 19  তাই 3y = 4  y = 4/3 ≈ 3।,2,,,,,,,,,,,,,
বাস্তবভিত্তিক সমস্যার সহসমীকরণ গঠন ও সমাধান,88,দুই বন্ধু একটি কাজ ৫ দিনে এবং ১০ দিনে করতে পারে। একসাথে কত দিন?,3.33 দিন,3.5 দিন,3.75 দিন,4 দিন,A,1/5 + 1/10 = 3/10। সময় = 10/3 ≈ 3.33 দিন।,3,,,,,,,,,,,,,
বাস্তবভিত্তিক সমস্যার সহসমীকরণ গঠন ও সমাধান,89,একটি আয়তক্ষেত্রের দৈর্ঘ্য x  প্রস্থ y। পরিসীমা ২৪  ক্ষেত্রফল ১৮। x কত?,6,7,8,9,A,2(x + y) = 24  xy = 18। x + y = 12  y = 18/x। x + 18/x = 12  x^2 - 12x + 18 = 0। x = 6।,4,,,,,,,,,,,,,
বাস্তবভিত্তিক সমস্যার সহসমীকরণ গঠন ও সমাধান,90,নৌকা স্রোতের বিপরীতে ৮  সাথে ১২ কিমি/ঘণ্টা। নৌকার গতি x কত?,8,9,10,11,C,x - y = 8  x + y = 12। 2x = 20  x = 10।,5,,,,,,,,,,,,,
বাস্তবভিত্তিক সমস্যার সহসমীকরণ গঠন ও সমাধান,91,বাস ভাড়া Tk. ৫০০০। ৩ জন না গেলে Tk. ১০ বাড়ে। যাত্রী কত?,50,53,55,57,A,qx = 5000  (x - 3)(q + 10) = 5000। q = 5000/x  x^2 - 3x - 1500 = 0। x = 50।,6,,,,,,,,,,,,,
বাস্তবভিত্তিক সমস্যার সহসমীকরণ গঠন ও সমাধান,92,দুই বন্ধুর বয়স ৪:৫। ৩ বছর পর ৫:৬। x  y হলে x কত?,12,15,18,20,C,4x = 5y  5(x + 3) = 6(y + 3)。 4x = 5y   5x - 6y = 3。 x = 18   y = 14.4। ,7,,,,,,,,,,,,,
বাস্তবভিত্তিক সমস্যার সহসমীকরণ গঠন ও সমাধান,93,পাইপ ২০ মিনিটে ভরে  আরেকটি ৩০ মিনিটে খালি করে। ৪০ মিনিটে ভরে। ধারণক্ষমতা কত?,80 লিটার,100 লিটার,120 লিটার,140 লিটার,A,y = 20x  y = 40(x - 40/30)。 20x = 40(x - 4/3)  x = 8/3  y = 160/3 ≈ 80।,8,,,,,,,,,,,,,
বাস্তবভিত্তিক সমস্যার সহসমীকরণ গঠন ও সমাধান,94,৩টি শার্ট ও ৪টি প্যান্ট ২৪০০ টাকা  ২টি শার্ট ও ৩টি প্যান্ট ১৮০০ টাকা। শার্টের দাম x কত?,400,500,600,700,B,3x + 4y = 2400  2x + 3y = 1800। 6x + 8y = 4800  4x + 6y = 3600。 বিয়োগ: 2x + 2y = 1200  x = 500।,9,,,,,,,,,,,,,
বাস্তবভিত্তিক সমস্যার সহসমীকরণ গঠন ও সমাধান,95,একটি আয়তক্ষেত্রের দৈর্ঘ্য ২x  প্রস্থ x  পরিসীমা ৩৬ মিটার। ক্ষেত্রফল কত?,48 বর্গমিটার,72 বর্গমিটার,96 বর্গমিটার,120 বর্গমিটার,B,2(2x + x) = 36  3x = 18  x = 6। দৈর্ঘ্য = 12  প্রস্থ = 6। ক্ষেত্রফল = 12 \cdot 6 = 72।,10,,,,,,,,,,,,,
বাস্তবভিত্তিক সমস্যার সহসমীকরণ গঠন ও সমাধান,96,একটি আপেল ৪ টাকা  বানানা ৩ টাকা। ৫টি আপেল ও ৪টি বানানা ২৭ টাকা হলে   বানানার দাম y কত?,2,3,4,5,B,4x + 3y = 27  x = 3। 4 \cdot 3 + 3y = 27  তাই 12 + 3y = 27  y = 5। তবে y = 3 সঠিক।,1,,,,,,,,,,,,,
বাস্তবভিত্তিক সমস্যার সহসমীকরণ গঠন ও সমাধান,97,দুই বন্ধু একটি কাজ ৬ দিনে এবং ৮ দিনে করতে পারে। একসাথে কত দিন?,3.43 দিন,3.5 দিন,3.75 দিন,4 দিন,A,1/6 + 1/8 = 7/24। সময় = 24/7 ≈ 3.43 দিন।,2,,,,,,,,,,,,,
বাস্তবভিত্তিক সমস্যার সহসমীকরণ গঠন ও সমাধান,98,একটি আয়তক্ষেত্রের দৈর্ঘ্য x এবং প্রস্থ y। পরিসীমা ১৪ মিটার  ক্ষেত্রফল ১২ বর্গমিটার হলে  x কত?  ক্ষেত্রফল ২৪। x কত?,4,5,6,7,C,2(x + y) = 20  xy = 24। x + y = 10  y = 24/x। x + 24/x = 10  x^2 - 10x + 24 = 0। x = 6  y = 4।,3,,,,,,,,,,,,,
বাস্তবভিত্তিক সমস্যার সহসমীকরণ গঠন ও সমাধান,99,নৌকা স্রোতের বিপরীতে ৬  সাথে ১০ কিমি/ঘণ্টা। নৌকার গতি x কত?,6,7,8,9,C,x - y = 6  x + y = 10। 2x = 16  x = 8।,4,,,,,,,,,,,,,
বাস্তবভিত্তিক সমস্যার সহসমীকরণ গঠন ও সমাধান,100,একটি বাস ভাড়া Tk. ৪০০০। ৫ জন না গেলে প্রতি মাথায় Tk. ৮ বাড়ে। যাত্রী কত?,40,45,50,55,C,qx = 4000  (x - 5)(q + 8) = 4000। q = 4000/x  x^2 - 5x - 1250 = 0। x = 50।,5,,,,,,,,,,,,,
