Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty Level
অসীম ধারা,130,ধারা 3 + 1/2 + 1/12 + ... এর অসীম যোগফল কত?,11/3,9/2,5,4,D,অসীম গুণোত্তর ধারার যোগফল = 3/(1-1/6) = 18/5 ≈ 4।,6
অসীম ধারা,131,ধারা 1/2 + 1/10 + 1/50 + ... এর অসীম যোগফল কত?,1/2,2/3,3/5,5/8,D,অসীম গুণোত্তর ধারার যোগফল = (1/2)/(1-1/5) = 5/8।,7
অসীম ধারা,132,অসীম ধারা 4 + 8/3 + 16/9 + ... এর যোগফল কত?,9,7,8,6,D,অসীম গুণোত্তর ধারার যোগফল = 4/(1-2/3) = 6।,7
অসীম ধারা,133,ধারা 1/7 + 1/49 + 1/343 + ... এর অসীম যোগফল কত?,1/9,1/7,1/8,1/6,D,অসীম গুণোত্তর ধারার যোগফল = (1/7)/(1-1/7) = 1/6।,7
অসীম ধারা,134,অসীম ধারা 9 + 3/2 + 1/4 + ... এর যোগফল কত?,18,27/2,15,54./5,D,অসীম গুণোত্তর ধারার যোগফল = 9/(1-1/6) = 54/5 ≈ 12।,7
অসীম ধারা,135,ধারা 1 + 3/5 + 9/25 + ... এর অসীম যোগফল কত?,5/2,3/2,7/3,2,A,অসীম গুণোত্তর ধারার যোগফল = 1/(1-3/5) = 5/2।,7
অসীম ধারা,136,অসীম ধারা 2 + 4/5 + 8/25 + ... এর যোগফল কত?,10/3,11/3,12/3,13/3,A,অসীম গুণোত্তর ধারার যোগফল = 2/(1-2/5) = 10/3।,8
অসীম ধারা,137,ধারা 1/8 + 1/64 + 1/512 + ... এর অসীম যোগফল কত?,1/7,1/8,1/9,1/10,A,অসীম গুণোত্তর ধারার যোগফল = (1/8)/(1-1/8) = 1/7।,8
অসীম ধারা,138,অসীম ধারা 6 + 3/2 + 3/8 + ... এর যোগফল কত?,8,9,10,11,A,অসীম গুণোত্তর ধারার যোগফল = 6/(1-1/4) = 8।,8
অসীম ধারা,139,ধারা 1 + 5/6 + 25/36 + ... এর অসীম যোগফল কত?,6,7,8,9,A,অসীম গুণোত্তর ধারার যোগফল = 1/(1-5/6) = 6।,8
অসীম ধারা,140,অসীম ধারা 3/2 + 3/8 + 3/32 + ... এর যোগফল কত?,2,3,4,5,A,অসীম গুণোত্তর ধারার যোগফল = (3/2)/(1-1/4) = 2।,8
অসীম ধারা,141,ধারা 1/9 + 1/27 + 1/81 + ... এর অসীম যোগফল কত?,1/6,1/7,1/8,1/9,A,অসীম গুণোত্তর ধারার যোগফল = (1/9)/(1-1/3) = 1/6।,9
অসীম ধারা,142,অসীম ধারা 5 + 5/4 + 5/16 + ... এর যোগফল কত?,8,10,12,20./3,D,অসীম গুণোত্তর ধারার যোগফল = 5/(1-1/4) = 20/3।,9
অসীম ধারা,143,ধারা 1 + 2/7 + 4/49 + ... এর অসীম যোগফল কত?,7/5,8/5,9/5,10/5,A,অসীম গুণোত্তর ধারার যোগফল = 1/(1-2/7) = 7/5।,9
অসীম ধারা,144,অসীম ধারা 4 + 4/3 + 4/9 + ... এর যোগফল কত?,6,7,8,9,A,অসীম গুণোত্তর ধারার যোগফল = 4/(1-1/3) = 6।,9
অসীম ধারা,145,ধারা 1/10 + 1/100 + 1/1000 + ... এর অসীম যোগফল কত?,1/9,1/10,1/11,1/12,A,অসীম গুণোত্তর ধারার যোগফল = (1/10)/(1-1/10) = 1/9।,9
অসীম ধারা,146,অসীম ধারা 3 + 9/5 + 27/25 + ... এর যোগফল কত?,15/2,8,17/2,9,A,অসীম গুণোত্তর ধারার যোগফল = 3/(1-3/5) = 15/2।,10
অসীম ধারা,147,ধারা 1/11 + 1/121 + 1/1331 + ... এর অসীম যোগফল কত?,1/10,1/11,1/12,1/13,A,অসীম গুণোত্তর ধারার যোগফল = (1/11)/(1-1/11) = 1/10।,10
অসীম ধারা,148,অসীম ধারা 2 + 2/5 + 2/25 + ... এর যোগফল কত?,5/2,3,7/2,4,A,অসীম গুণোত্তর ধারার যোগফল = 2/(1-1/5) = 5/2।,10
অসীম ধারা,149,ধারা 1 + 4/9 + 16/81 + ... এর অসীম যোগফল কত?,9/5,2,11/5,3,A,অসীম গুণোত্তর ধারার যোগফল = 1/(1-4/9) = 9/5।,10
অসীম ধারা,150,অসীম ধারা 5/2 + 5/8 + 5/32 + ... এর যোগফল কত?,10/3,11/3,4,13/3,A,অসীম গুণোত্তর ধারার যোগফল = (5/2)/(1-1/4) = 10/3।,10
অসীম গুণোত্তর ধারার সমষ্টি,1,অসীম গুণোত্তর ধারা 1 + 1/2 + 1/4 + ... এর যোগফল কত?,1,2,3,4,B,যোগফল = 1/(1-1/2) = 2।,1
অসীম গুণোত্তর ধারার সমষ্টি,2,ধারা 3 + 1 + 1/3 + ... এর অসীম যোগফল কত?,9/2,4,5,11/2,A,যোগফল = 3/(1-1/3) = 9/2।,1
অসীম গুণোত্তর ধারার সমষ্টি,3,ধারা 1/3 + 1/9 + 1/27 + ... এর অসীম যোগফল কত?,1/2,2/3,1/3,1/4,A,যোগফল = (1/3)/(1-1/3) = 1/2।,1
অসীম গুণোত্তর ধারার সমষ্টি,4,অসীম ধারা 2 + 1 + 1/2 + ... এর যোগফল কত?,4,3,7/2,9/2,A,যোগফল = 2/(1-1/2) = 4।,1
অসীম গুণোত্তর ধারার সমষ্টি,5,ধারা 1/4 + 1/8 + 1/16 + ... এর অসীম যোগফল কত?,1/2,2/3,3/4,1,A,যোগফল = (1/4)/(1-1/2) = 1/2।,1
অসীম গুণোত্তর ধারার সমষ্টি,6,ধারা 5 + 5/2 + 5/4 + ... এর অসীম যোগফল কত?,10,12,14,16,A,যোগফল = 5/(1-1/2) = 10।,2
অসীম গুণোত্তর ধারার সমষ্টি,7,অসীম ধারা 1 + 1/3 + 1/9 + ... এর যোগফল কত?,3/2,4/3,2,5/3,A,যোগফল = 1/(1-1/3) = 3/2।,2
অসীম গুণোত্তর ধারার সমষ্টি,8,ধারা 4 + 4/3 + 4/9 + ... এর অসীম যোগফল কত?,6,7,8,9,A,যোগফল = 4/(1-1/3) = 6।,2
অসীম গুণোত্তর ধারার সমষ্টি,9,ধারা 1/5 + 1/25 + 1/125 + ... এর অসীম যোগফল কত?,1/4,1/5,1/6,1/7,A,যোগফল = (1/5)/(1-1/5) = 1/4।,2
অসীম গুণোত্তর ধারার সমষ্টি,10,অসীম ধারা 6 + 3 + 3/2 + ... এর যোগফল কত?,12,10,14,16,A,যোগফল = 6/(1-1/2) = 12।,2
অসীম গুণোত্তর ধারার সমষ্টি,11,ধারা 1 + 2/3 + 4/9 + ... এর অসীম যোগফল কত?,3,4,5,6,A,যোগফল = 1/(1-2/3) = 3।,3
অসীম গুণোত্তর ধারার সমষ্টি,12,অসীম ধারা 8 + 4 + 2 + ... এর যোগফল কত?,16,18,20,22,A,যোগফল = 8/(1-1/2) = 16।,3
অসীম গুণোত্তর ধারার সমষ্টি,13,ধারা 1/2 + 1/6 + 1/18 + ... এর অসীম যোগফল কত?,3/4,2/3,1,5/6,A,যোগফল = (1/2)/(1-1/3) = 3/4।,3
অসীম গুণোত্তর ধারার সমষ্টি,14,ধারা 9 + 3 + 1 + ... এর অসীম যোগফল কত?,27/2,12,15,18,A,যোগফল = 9/(1-1/3) = 27/2।,3
অসীম গুণোত্তর ধারার সমষ্টি,15,অসীম ধারা 1/6 + 1/24 + 1/96 + ... এর যোগফল কত?,1/4,1/5,1/6,1/7,A,যোগফল = (1/6)/(1-1/4) = 1/4।,3
অসীম গুণোত্তর ধারার সমষ্টি,16,ধারা 1 + 3/4 + 9/16 + ... এর অসীম যোগফল কত?,4,5,6,7,A,যোগফল = 1/(1-3/4) = 4।,4
অসীম গুণোত্তর ধারার সমষ্টি,17,অসীম ধারা 3 + 3/2 + 3/4 + ... এর যোগফল কত?,5,6,7,8,B,যোগফল = 3/(1-1/2) = 6।,4
অসীম গুণোত্তর ধারার সমষ্টি,18,ধারা 1/7 + 1/49 + 1/343 + ... এর অসীম যোগফল কত?,1/6,1/7,1/8,1/9,A,যোগফল = (1/7)/(1-1/7) = 1/6।,4
অসীম গুণোত্তর ধারার সমষ্টি,19,ধারা 2 + 2/3 + 2/9 + ... এর অসীম যোগফল কত?,3,4,5,6,A,যোগফল = 2/(1-1/3) = 3।,4
অসীম গুণোত্তর ধারার সমষ্টি,20,অসীম ধারা 1/8 + 1/64 + 1/512 + ... এর যোগফল কত?,1/7,1/8,1/9,1/10,A,যোগফল = (1/8)/(1-1/8) = 1/7।,4
অসীম গুণোত্তর ধারার সমষ্টি,21,ধারা 1 + 4/5 + 16/25 + ... এর অসীম যোগফল কত?,5,6,7,8,A,যোগফল = 1/(1-4/5) = 5।,5
অসীম গুণোত্তর ধারার সমষ্টি,22,অসীম ধারা 4 + 8/3 + 16/9 + ... এর যোগফল কত?,6,7,8,9,A,যোগফল = 4/(1-2/3) = 6।,5
অসীম গুণোত্তর ধারার সমষ্টি,23,ধারা 1/2 + 1/10 + 1/50 + ... এর অসীম যোগফল কত?,5/8,2/3,3/5,1/2,A,যোগফল = (1/2)/(1-1/5) = 5/8।,5
অসীম গুণোত্তর ধারার সমষ্টি,24,ধারা 10 + 5 + 5/2 + ... এর অসীম যোগফল কত?,20,22,24,26,A,যোগফল = 10/(1-1/2) = 20।,5
অসীম গুণোত্তর ধারার সমষ্টি,25,অসীম ধারা 1/3 + 1/12 + 1/48 + ... এর যোগফল কত?,1/2,2/5,3/7,4/9,A,যোগফল = (1/3)/(1-1/4) = 1/2।,5
অসীম গুণোত্তর ধারার সমষ্টি,26,ধারা 1 + 2/5 + 4/25 + ... এর অসীম যোগফল কত?,5/3,7/4,3/2,2,A,যোগফল = 1/(1-2/5) = 5/3।,6
অসীম গুণোত্তর ধারার সমষ্টি,27,অসীম ধারা 6 + 3/2 + 3/8 + ... এর যোগফল কত?,8,9,10,11,A,যোগফল = 6/(1-1/4) = 8।,6
অসীম গুণোত্তর ধারার সমষ্টি,28,ধারা 1/9 + 1/27 + 1/81 + ... এর অসীম যোগফল কত?,1/6,1/7,1/8,1/9,A,যোগফল = (1/9)/(1-1/3) = 1/6।,6
অসীম গুণোত্তর ধারার সমষ্টি,29,ধারা 2 + 3/2 + 9/8 + ... এর অসীম যোগফল কত?,8,10,12,14,A,যোগফল = 2/(1-3/4) = 8।,6
অসীম গুণোত্তর ধারার সমষ্টি,30,অসীম ধারা 3/2 + 3/8 + 3/32 + ... এর যোগফল কত?,2,3,4,5,A,যোগফল = (3/2)/(1-1/4) = 2।,6
অসীম গুণোত্তর ধারার সমষ্টি,31,ধারা 1 + 3/5 + 9/25 + ... এর অসীম যোগফল কত?,5/2,3/2,7/3,2,A,যোগফল = 1/(1-3/5) = 5/2।,7
অসীম গুণোত্তর ধারার সমষ্টি,32,অসীম ধারা 5 + 5/4 + 5/16 + ... এর যোগফল কত?,20/3,7,8,9,A,যোগফল = 5/(1-1/4) = 20/3।,7
অসীম গুণোত্তর ধারার সমষ্টি,33,ধারা 1/10 + 1/100 + 1/1000 + ... এর অসীম যোগফল কত?,1/9,1/10,1/11,1/12,A,যোগফল = (1/10)/(1-1/10) = 1/9।,7
অসীম গুণোত্তর ধারার সমষ্টি,34,অসীম ধারা 3 + 1/2 + 1/12 + ... এর যোগফল কত?,18/5,4,9/2,5,A,যোগফল = 3/(1-1/6) = 18/5।,7
অসীম গুণোত্তর ধারার সমষ্টি,35,ধারা 1 + 5/6 + 25/36 + ... এর অসীম যোগফল কত?,6,7,8,9,A,যোগফল = 1/(1-5/6) = 6।,7
অসীম গুণোত্তর ধারার সমষ্টি,36,অসীম ধারা 2 + 4/5 + 8/25 + ... এর যোগফল কত?,10/3,11/3,12/3,13/3,A,যোগফল = 2/(1-2/5) = 10/3।,8
অসীম গুণোত্তর ধারার সমষ্টি,37,ধারা 1 + 2/7 + 4/49 + ... এর অসীম যোগফল কত?,7/5,8/5,9/5,10/5,A,যোগফল = 1/(1-2/7) = 7/5।,8
অসীম গুণোত্তর ধারার সমষ্টি,38,অসীম ধারা 9 + 3/2 + 1/4 + ... এর যোগফল কত?,54/5,12,15,18,A,যোগফল = 9/(1-1/6) = 54/5।,8
অসীম গুণোত্তর ধারার সমষ্টি,39,ধারা 3/2 + 3/10 + 3/50 + ... এর অসীম যোগফল কত?,15/8,2,9/4,5/2,A,যোগফল = (3/2)/(1-1/5) = 15/8।,8
অসীম গুণোত্তর ধারার সমষ্টি,40,অসীম ধারা 1/11 + 1/121 + 1/1331 + ... এর যোগফল কত?,1/10,1/11,1/12,1/13,A,যোগফল = (1/11)/(1-1/11) = 1/10।,8
অসীম গুণোত্তর ধারার সমষ্টি,41,ধারা 1 + 4/9 + 16/81 + ... এর অসীম যোগফল কত?,9/5,2,11/5,3,A,যোগফল = 1/(1-4/9) = 9/5।,9
অসীম গুণোত্তর ধারার সমষ্টি,42,অসীম ধারা 5/2 + 5/8 + 5/32 + ... এর যোগফল কত?,10/3,11/3,4,13/3,A,যোগফল = (5/2)/(1-1/4) = 10/3।,9
অসীম গুণোত্তর ধারার সমষ্টি,43,ধারা 2 + 2/5 + 2/25 + ... এর অসীম যোগফল কত?,5/2,3,7/2,4,A,যোগফল = 2/(1-1/5) = 5/2।,9
অসীম গুণোত্তর ধারার সমষ্টি,44,অসীম ধারা 3 + 9/5 + 27/25 + ... এর যোগফল কত?,15/2,8,17/2,9,A,যোগফল = 3/(1-3/5) = 15/2।,9
অসীম গুণোত্তর ধারার সমষ্টি,45,ধারা 1/12 + 1/144 + 1/1728 + ... এর অসীম যোগফল কত?,1/11,1/12,1/13,1/14,A,যোগফল = (1/12)/(1-1/12) = 1/11।,9
অসীম গুণোত্তর ধারার সমষ্টি,46,অসীম ধারা 4 + 8/5 + 16/25 + ... এর যোগফল কত?,20/3,7,8,9,A,যোগফল = 4/(1-2/5) = 20/3।,10
অসীম গুণোত্তর ধারার সমষ্টি,47,ধারা 1 + 3/8 + 9/64 + ... এর অসীম যোগফল কত?,8/5,9/5,2,11/5,A,যোগফল = 1/(1-3/8) = 8/5।,10
অসীম গুণোত্তর ধারার সমষ্টি,48,অসীম ধারা 5 + 5/6 + 5/36 + ... এর যোগফল কত?,6,15/2,8,9,A,যোগফল = 5/(1-1/6) = 30/5 = 6।,10
অসীম গুণোত্তর ধারার সমষ্টি,49,ধারা 1/13 + 1/169 + 1/2197 + ... এর অসীম যোগফল কত?,1/12,1/13,1/14,1/15,A,যোগফল = (1/13)/(1-1/13) = 1/12।,10
অসীম গুণোত্তর ধারার সমষ্টি,50,অসীম ধারা 2 + 6/5 + 18/25 + ... এর যোগফল কত?,5,6,7,8,A,যোগফল = 2/(1-3/5) = 5।,10
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,201,পুনরাবৃত্ত দশমিক 0.444... কে ভগ্নাংশে প্রকাশ করলে কী হবে?,4/9,3/7,5/11,2/5,A,"0.444... = 4/9, কারণ 10x = 4.444..., 10x - x = 4, x = 4/9।",1
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,202,0.666... কে ভগ্নাংশে রূপান্তর করলে কী পাওয়া যায়?,2/3,1/2,3/4,5/6,A,"0.666... = 2/3, কারণ 10x = 6.666..., 10x - x = 6, x = 2/3।",1
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,203,0.222... এর ভগ্নাংশ রূপ কী?,2/9,1/5,3/7,4/9,A,"0.222... = 2/9, কারণ 10x = 2.222..., 10x - x = 2, x = 2/9।",1
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,204,0.888... কে ভগ্নাংশে প্রকাশ করলে কী হবে?,8/9,7/8,9/10,6/7,A,"0.888... = 8/9, কারণ 10x = 8.888..., 10x - x = 8, x = 8/9।",1
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,205,0.111... এর ভগ্নাংশ রূপ কী?,1/9,2/9,1/8,3/8,A,"0.111... = 1/9, কারণ 10x = 1.111..., 10x - x = 1, x = 1/9।",1
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,206,0.555... কে ভগ্নাংশে রূপান্তর করলে কী পাওয়া যায়?,5/9,4/9,6/11,3/7,A,"0.555... = 5/9, কারণ 10x = 5.555..., 10x - x = 5, x = 5/9।",2
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,207,0.777... এর ভগ্নাংশ রূপ কী?,7/9,8/11,6/9,7/10,A,"0.777... = 7/9, কারণ 10x = 7.777..., 10x - x = 7, x = 7/9।",2
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,208,0.333... কে ভগ্নাংশে প্রকাশ করলে কী হবে?,1/3,2/3,1/4,3/5,A,"0.333... = 1/3, কারণ 10x = 3.333..., 10x - x = 3, x = 1/3।",2
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,209,0.999... এর ভগ্নাংশ রূপ কী?,1,9/10,8/9,7/8,A,"0.999... = 1, কারণ 10x = 9.999..., 10x - x = 9, x = 1।",2
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,210,0.1212... কে ভগ্নাংশে রূপান্তর করলে কী পাওয়া যায়?,4/33,12/99,1/8,12/100,B,"0.1212... = 12/99 = 4/33, কারণ 100x = 12.1212..., 100x - x = 12, x = 12/99।",2
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,211,0.3434... এর ভগ্নাংশ রূপ কী?,34/99,3/11,34/100,4/11,B,"0.3434... = 34/99, কারণ 100x = 34.3434..., 100x - x = 34, x = 34/99।",3
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,212,0.5656... কে ভগ্নাংশে প্রকাশ করলে কী হবে?,56/99,5/9,56/100,6/11,B,"0.5656... = 56/99, কারণ 100x = 56.5656..., 100x - x = 56, x = 56/99।",3
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,213,0.7878... এর ভগ্নাংশ রূপ কী?,78/99,7/9,78/100,8/11,B,"0.7878... = 78/99, কারণ 100x = 78.7878..., 100x - x = 78, x = 78/99।",3
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,214,0.2323... কে ভগ্নাংশে রূপান্তর করলে কী পাওয়া যায়?,23/99,2/9,23/100,3/13,B,"0.2323... = 23/99, কারণ 100x = 23.2323..., 100x - x = 23, x = 23/99।",3
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,215,0.6767... এর ভগ্নাংশ রূপ কী?,67/99,6/9,67/100,7/11,B,"0.6767... = 67/99, কারণ 100x = 67.6767..., 100x - x = 67, x = 67/99।",3
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,216,0.345345... কে ভগ্নাংশে প্রকাশ করলে কী হবে?,115/333,345/999,34/99,345/1000,B,"0.345345... = 345/999 = 115/333, কারণ 1000x = 345.345..., 1000x - x = 345, x = 345/999।",4
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,217,0.678678... এর ভগ্নাংশ রূপ কী?,226/333,678/999,67/99,678/1000,B,"0.678678... = 678/999 = 226/333, কারণ 1000x = 678.678..., 1000x - x = 678, x = 678/999।",4
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,218,0.123123... কে ভগ্নাংশে রূপান্তর করলে কী পাওয়া যায়?,41/333,123/999,12/99,123/1000,B,"0.123123... = 123/999 = 41/333, কারণ 1000x = 123.123..., 1000x - x = 123, x = 123/999।",4
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,219,0.456456... এর ভগ্নাংশ রূপ কী?,152/333,456/999,45/99,456/1000,B,"0.456456... = 456/999 = 152/333, কারণ 1000x = 456.456..., 1000x - x = 456, x = 456/999।",4
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,220,0.789789... এর ভগ্নাংশ রূপ কী?,263/333,789/999,78/99,789/1000,B,"0.789789... = 789/999 = 263/333, কারণ 1000x = 789.789..., 1000x - x = 789, x = 789/999।",4
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,221,0.166666... কে ভগ্নাংশে প্রকাশ করলে কী হবে?,1/6,2/6,1/5,3/6,A,"0.166666... = 1/6, কারণ 10x = 1.6666..., 10x - x = 1.5, x = 1.5/9 = 1/6।",5
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,222,0.833333... এর ভগ্নাংশ রূপ কী?,5/6,4/6,5/7,6/7,A,"0.833333... = 5/6, কারণ 10x = 8.3333..., 10x - x = 7.5, x = 7.5/9 = 5/6।",5
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,223,0.416666... কে ভগ্নাংশে রূপান্তর করলে কী পাওয়া যায়?,5/12,4/12,3/7,5/11,A,"0.416666... = 5/12, কারণ 10x = 4.1666..., 10x - x = 3.75, x = 3.75/9 = 5/12।",5
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,224,0.583333... এর ভগ্নাংশ রূপ কী?,7/12,6/12,5/9,7/11,A,"0.583333... = 7/12, কারণ 10x = 5.8333..., 10x - x = 5.25, x = 5.25/9 = 7/12।",5
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,225,0.916666... কে ভগ্নাংশে প্রকাশ করলে কী হবে?,11/12,10/12,9/11,11/13,A,"0.916666... = 11/12, কারণ 10x = 9.1666..., 10x - x = 8.25, x = 8.25/9 = 11/12।",5
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,226,0.090909... কে ভগ্নাংশে রূপান্তর করলে কী পাওয়া যায়?,1/11,2/11,1/10,3/11,A,"0.090909... = 1/11, কারণ 100x = 9.0909..., 100x - x = 9, x = 9/99 = 1/11।",6
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,227,0.181818... এর ভগ্নাংশ রূপ কী?,2/11,3/11,2/9,4/11,A,"0.181818... = 2/11, কারণ 100x = 18.1818..., 100x - x = 18, x = 18/99 = 2/11।",6
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,228,0.363636... কে ভগ্নাংশে প্রকাশ করলে কী হবে?,4/11,5/11,3/9,6/11,A,"0.363636... = 4/11, কারণ 100x = 36.3636..., 100x - x = 36, x = 36/99 = 4/11।",6
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,229,0.545454... এর ভগ্নাংশ রূপ কী?,6/11,7/11,5/9,8/11,A,"0.545454... = 6/11, কারণ 100x = 54.5454..., 100x - x = 54, x = 54/99 = 6/11।",6
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,230,0.727272... কে ভগ্নাংশে রূপান্তর করলে কী পাওয়া যায়?,8/11,9/11,7/9,10/11,A,"0.727272... = 8/11, কারণ 100x = 72.7272..., 100x - x = 72, x = 72/99 = 8/11।",6
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,231,0.142857142857... এর ভগ্নাংশ রূপ কী?,1/7,2/7,1/6,3/7,A,"0.142857... = 1/7, কারণ 1000000x = 142857.142857..., 1000000x - x = 142857, x = 142857/999999 = 1/7।",7
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,232,0.285714285714... কে ভগ্নাংশে প্রকাশ করলে কী হবে?,2/7,3/7,2/9,4/7,A,"0.285714... = 2/7, কারণ 1000000x = 285714.285714..., 1000000x - x = 285714, x = 285714/999999 = 2/7।",7
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,233,0.428571428571... এর ভগ্নাংশ রূপ কী?,3/7,4/7,3/8,5/7,A,"0.428571... = 3/7, কারণ 1000000x = 428571.428571..., 1000000x - x = 428571, x = 428571/999999 = 3/7।",7
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,234,0.571428571428... কে ভগ্নাংশে রূপান্তর করলে কী পাওয়া যায়?,4/7,5/7,4/9,6/7,D,"0.571428... = 4/7, কারণ 1000000x = 571428.571428..., 1000000x - x = 571428, x = 571428/999999 = 4/7।",7
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,235,0.714285714285... এর ভগ্নাংশ রূপ কী?,5/7,6/7,5/8,7/7,D,"0.714285... = 5/7, কারণ 1000000x = 714285.714285..., 1000000x - x = 714285, x = 714285/999999 = 5/7।",7
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,236,0.076923076923... কে ভগ্নাংশে প্রকাশ করলে কী হবে?,1/13,2/13,1/12,3/13,D,"0.076923... = 1/13, কারণ 1000000x = 76923.076923..., 1000000x - x = 76923, x = 76923/999999 = 1/13।",8
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,237,0.153846153846... এর ভগ্নাংশ রূপ কী?,2/13,3/13,2/12,4/13,D,"0.153846... = 2/13, কারণ 1000000x = 153846.153846..., 1000000x - x = 153846, x = 153846/999999 = 2/13।",8
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,238,0.230769230769... কে ভগ্নাংশে রূপান্তর করলে কী পাওয়া যায়?,3/13,4/13,3/12,5/13,D,"0.230769... = 3/13, কারণ 1000000x = 230769.230769..., 1000000x - x = 230769, x = 230769/999999 = 3/13।",8
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,239,0.307692307692... এর ভগ্নাংশ রূপ কী?,4/13,5/13,4/12,6/13,D,"0.307692... = 4/13, কারণ 1000000x = 307692.307692..., 1000000x - x = 307692, x = 307692/999999 = 4/13।",8
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,240,0.384615384615... কে ভগ্নাংশে প্রকাশ করলে কী হবে?,5/13,6/13,5/12,7/13,D,"0.384615... = 5/13, কারণ 1000000x = 384615.384615..., 1000000x - x = 384615, x = 384615/999999 = 5/13।",8
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,241,0.066666... এর ভগ্নাংশ রূপ কী?,1/15,2/15,1/14,3/15,D,"0.066666... = 1/15, কারণ 10x = 0.6666..., 10x - x = 0.6, x = 0.6/9 = 1/15।",9
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,242,0.133333... কে ভগ্নাংশে রূপান্তর করলে কী পাওয়া যায়?,2/15,3/15,2/14,4/15,D,"0.133333... = 2/15, কারণ 10x = 1.3333..., 10x - x = 1.2, x = 1.2/9 = 2/15।",9
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,243,0.266666... এর ভগ্নাংশ রূপ কী?,4/15,5/15,4/14,6/15,D,"0.266666... = 4/15, কারণ 10x = 2.6666..., 10x - x = 2.4, x = 2.4/9 = 4/15।",9
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,244,0.333333... কে ভগ্নাংশে প্রকাশ করলে কী হবে?,5/15,6/15,5/14,7/15,D,"0.333333... = 5/15 = 1/3, কারণ 10x = 3.3333..., 10x - x = 3, x = 3/9 = 1/3।",9
পৌনঃপুনিক দশমিকের সাধারণ ভগ্নাংশে রূপান্তর,245,0.466666... এর ভগ্নাংশ রূপ কী?,7/15,8/15,7/14,9/15,A,"0.466666... = 7/15, কারণ 10x = 4.6666..., 10x - x = 4.2, x = 4.2/9 = 7/15।",9
